MeasurementDateGMT,Westminster - Covent Garden: Nitric Oxide (ug/m3),Westminster - Covent Garden: Nitrogen Dioxide (ug/m3),Westminster - Covent Garden: Oxides of Nitrogen (ug/m3)
2018-01-01,99.8,802.1,955.3
2018-01-02,265.09999999999997,985.2,1391.3
2018-01-03,101.80000000000001,729.6999999999999,885.6000000000001
2018-01-04,259.99999999999994,1009.4,1408.3999999999999
2018-01-05,261.3,1226.4,1627.4
2018-01-06,672.0,1251.2999999999997,2281.8999999999996
2018-01-07,133.79999999999998,600.2,805.6999999999999
2018-01-08,510.09999999999997,897.4000000000001,1679.1000000000001
2018-01-09,933.3999999999999,1011.9000000000001,2443.2999999999997
2018-01-10,435.59999999999997,1304.8,1972.7999999999997
2018-01-11,698.5,1053.1999999999998,2124.0
2018-01-12,564.0000000000001,1016.8,1881.6000000000001
2018-01-13,329.5,876.0999999999999,1381.5000000000002
2018-01-14,187.2,829.4,1116.2
2018-01-15,195.89999999999998,867.8000000000002,1168.1999999999998
2018-01-16,131.29999999999998,861.0,1061.9999999999998
2018-01-17,139.89999999999998,787.6,1001.8
2018-01-18,148.20000000000002,867.2000000000002,1094.3
2018-01-19,218.39999999999998,1156.8,1491.4
2018-01-20,241.9,1236.2,1606.8
2018-01-21,327.8,1197.8,1700.7000000000003
2018-01-22,236.00000000000003,1138.2,1499.7
2018-01-23,135.90000000000003,806.5000000000001,1014.5999999999999
2018-01-24,98.89999999999999,698.2,850.0000000000001
2018-01-25,224.00000000000003,981.2000000000002,1325.0
2018-01-26,358.59999999999997,1264.0,1813.3000000000002
2018-01-27,258.4,1007.3,1403.9
2018-01-28,83.19999999999999,712.0999999999999,839.8
2018-01-29,101.40000000000002,847.1999999999999,1002.8999999999999
2018-01-30,775.1000000000001,1445.3,2633.9000000000005
2018-01-31,152.00000000000003,919.1999999999999,1152.4999999999998
2018-02-01,164.6,859.1000000000001,1110.8999999999999
2018-02-02,273.0,1008.6,1426.9
2018-02-03,325.7,1340.8999999999999,1840.3
2018-02-04,119.90000000000002,639.6999999999999,824.0000000000001
2018-02-05,247.50000000000006,881.9000000000001,1261.6000000000001
2018-02-06,314.1,1087.8999999999999,1569.3000000000002
2018-02-07,438.5000000000001,1324.0,1996.7999999999997
2018-02-08,480.29999999999995,1368.2000000000003,2104.3999999999996
2018-02-09,154.29999999999998,963.6999999999998,1200.5
2018-02-10,205.9,1040.2,1356.3000000000002
2018-02-11,86.10000000000001,635.6,767.5
2018-02-12,303.6,1129.3,1595.1
2018-02-13,213.60000000000002,973.8000000000002,1301.2
2018-02-14,455.5,1083.7,1782.4
2018-02-15,214.59999999999994,1149.7,1478.6
2018-02-16,393.1,1312.5,1915.6000000000001
2018-02-17,556.7,1446.1000000000001,2299.8
2018-02-18,222.4,1163.0,1503.9999999999995
2018-02-19,415.5999999999999,1110.2,1747.1000000000001
2018-02-20,172.09999999999997,865.6999999999999,1129.5999999999997
2018-02-21,256.4,955.6999999999999,1348.9
2018-02-22,325.90000000000003,1258.0,1757.8999999999994
2018-02-23,380.1,1332.7999999999997,1915.8000000000002
2018-02-24,327.49999999999994,1162.1,1664.3999999999999
2018-02-25,181.8,908.8999999999999,1186.8
2018-02-26,188.95000000000002,879.6500000000001,1169.1999999999998
2018-02-27,261.8,1190.9999999999998,1591.8000000000002
2018-02-28,369.70000000000005,1098.8,1665.5
