MeasurementDateGMT,Tower Hamlets - Blackwall: Nitric Oxide (ug/m3),Tower Hamlets - Blackwall: Nitrogen Dioxide (ug/m3),Tower Hamlets - Blackwall: Oxides of Nitrogen (ug/m3),Tower Hamlets - Blackwall: Ozone (ug/m3),Tower Hamlets - Blackwall: PM10 Particulate (ug/m3),Tower Hamlets - Blackwall: PM2.5 Particulate (ug/m3)
2018-01-01,456.79999999999995,772.2000000000002,1473.1999999999998,1035.7,339.49999999999994,103.1
2018-01-02,929.4999999999999,1098.8,2524.0000000000005,709.1,507.0,159.1
2018-01-03,590.6,694.1999999999999,1599.5999999999997,1190.3000000000004,627.8,220.9
2018-01-04,791.0000000000001,951.5999999999999,2164.7000000000003,934.8,426.8999999999999,145.1
2018-01-05,1520.9,1450.3000000000002,3782.1,674.2,472.3999999999999,197.1
2018-01-06,1864.8,1276.3,4135.400000000001,374.9,691.1,415.0
2018-01-07,230.29999999999998,386.00000000000006,738.9000000000001,951.4,353.79999999999995,80.9
2018-01-08,301.0999999999999,610.5999999999999,1072.2,426.6,555.4,303.69999999999993
2018-01-09,1327.4000000000003,974.9,3009.7999999999997,95.95,917.1999999999999,646.0
2018-01-10,2718.6999999999994,1853.3999999999999,6022.400000000001,334.9,777.2999999999998,407.8
2018-01-11,3385.7,1569.7,6761.3,62.400000000000006,879.1,650.5
2018-01-12,1377.2999999999997,1268.1000000000001,3379.7999999999997,214.89999999999998,745.5,542.0999999999999
2018-01-13,211.0,611.8000000000001,935.3,561.1999999999999,701.6999999999999,512.5000000000001
2018-01-14,853.5,1047.4,2356.3,386.50000000000006,787.4999999999999,599.6
2018-01-15,1018.0,1157.0000000000002,2718.0999999999995,646.1,384.59999999999997,187.69999999999996
2018-01-16,873.9,1044.0,2383.9000000000005,1035.3,369.70000000000005,105.19999999999999
2018-01-17,942.9,1107.9,2553.9999999999995,979.7,532.3000000000001,132.6
2018-01-18,1059.7000000000003,1153.0,2777.7,1000.0,416.99999999999994,114.89999999999999
2018-01-19,1458.1999999999998,1522.6999999999998,3758.45,683.8,557.1999999999999,171.2
2018-01-20,706.5000000000001,1358.8000000000002,2442.2999999999993,671.1000000000003,328.8,156.60000000000002
2018-01-21,898.6000000000001,1420.4,2797.9,356.1000000000001,458.5000000000001,314.1999999999999
2018-01-22,1632.1999999999998,1643.0,4145.4,546.9,577.7000000000002,221.5
2018-01-23,1302.0,1269.1,3265.5000000000005,699.4499999999999,382.8,149.2
2018-01-24,960.4,1132.9,2605.7000000000003,930.0000000000001,315.90000000000003,92.89999999999999
2018-01-25,1568.4000000000003,1604.6000000000001,4009.3999999999996,638.9000000000001,616.8,182.99999999999997
2018-01-26,2605.5999999999995,1952.8999999999999,5948.000000000001,242.69999999999996,872.0000000000001,389.9000000000001
2018-01-27,1078.5,1369.3000000000002,3023.600000000001,458.9000000000001,570.0000000000001,299.7
2018-01-28,470.5000000000001,696.6999999999999,1418.6000000000001,1102.2,292.4999999999999,79.1
2018-01-29,1161.7,1149.2999999999997,2929.9999999999995,929.8,379.3,117.4
2018-01-30,2643.7,2021.6,6075.199999999999,244.89999999999998,836.9,317.09999999999997
2018-01-31,1010.3999999999999,1071.2,2619.9000000000005,1007.5,333.5,95.69999999999997
2018-02-01,1401.1499999999999,1277.1999999999998,3425.35,797.3,490.15,143.95
2018-02-02,2132.4500000000003,1628.6500000000003,4898.299999999999,462.3,691.5999999999999,251.2
2018-02-03,1170.3999999999999,1618.6,3413.4999999999995,258.90000000000003,471.4,302.30000000000007
2018-02-04,342.7,671.6999999999999,1196.9,782.3,311.9,154.69999999999996
2018-02-05,500.59999999999997,856.1999999999998,1623.6999999999998,669.6999999999999,459.3,220.2
2018-02-06,1819.1000000000001,1531.3000000000002,4320.700000000001,383.3,1038.1,487.19999999999993
2018-02-07,2688.7999999999997,1965.3000000000002,6088.0,286.70000000000005,1220.0,375.20000000000005
2018-02-08,2206.2,2083.0000000000005,5466.000000000001,488.3399999999999,1001.0,310.7
2018-02-09,1599.9000000000005,1559.0,4012.1999999999994,730.5599999999998,563.5,154.7
2018-02-10,1153.1000000000001,1573.1,3341.4000000000005,543.4,422.8,156.89999999999998
2018-02-11,609.9000000000001,846.7000000000002,1781.9,1125.3,333.0000000000001,94.00000000000001
2018-02-12,1770.3500000000001,1655.25,4369.3499999999985,636.3000000000001,576.3999999999999,124.20000000000002
2018-02-13,650.2999999999998,1118.6000000000001,2115.8,769.3000000000003,395.3,146.4
2018-02-14,1419.7999999999997,1372.9,3550.2000000000007,520.7,526.4999999999999,228.10000000000005
2018-02-15,1422.6000000000001,1533.5,3714.500000000001,654.6999999999998,665.8,215.80000000000004
2018-02-16,1948.6,1861.0999999999997,4849.0,423.00000000000006,912.6000000000001,259.3
2018-02-17,1810.3000000000004,1901.9999999999998,4678.299999999999,288.80000000000007,967.8,433.0000000000001
