MeasurementDateGMT,Kensington and Chelsea - North Ken: Carbon Monoxide (mg/m3),Kensington and Chelsea - North Ken: Nitric Oxide (ug/m3),Kensington and Chelsea - North Ken: Nitrogen Dioxide (ug/m3),Kensington and Chelsea - North Ken: Oxides of Nitrogen (ug/m3),Kensington and Chelsea - North Ken: Ozone (ug/m3),Kensington and Chelsea - North Ken: PM2.5 Particulate (ug/m3),Kensington and Chelsea - North Ken: Sulphur Dioxide (ug/m3)
2018-01-01,3.1000000000000005,14.399999999999995,297.6,456.20000000000005,1418.8,213.60000000000008,38.40000000000001
2018-01-02,4.2,14.399999999999995,297.6,1022.6,994.0,213.60000000000008,38.40000000000001
2018-01-03,2.600000000000001,14.399999999999995,297.6,401.4,1668.9000000000005,213.60000000000008,38.40000000000001
2018-01-04,3.200000000000001,14.399999999999995,297.6,839.3,1275.8000000000002,213.60000000000008,38.40000000000001
2018-01-05,4.5,14.399999999999995,297.6,1415.5,990.5,213.60000000000008,38.40000000000001
2018-01-06,5.1000000000000005,14.399999999999995,297.6,1492.8999999999994,548.1999999999999,213.60000000000008,38.40000000000001
2018-01-07,2.400000000000001,14.399999999999995,297.6,504.09999999999997,1148.5,213.60000000000008,38.40000000000001
2018-01-08,3.9000000000000017,14.399999999999995,297.6,1115.0,471.19999999999993,213.60000000000008,38.40000000000001
2018-01-09,4.599999999999999,14.399999999999995,297.6,1855.7,87.2,213.60000000000008,38.40000000000001
2018-01-10,7.1000000000000005,14.399999999999995,297.6,3446.7999999999997,487.49999999999994,213.60000000000008,38.40000000000001
2018-01-11,4.7,14.399999999999995,297.6,2544.3999999999996,76.4,213.60000000000008,38.40000000000001
2018-01-12,3.7000000000000015,14.399999999999995,297.6,1439.3999999999999,449.4,213.60000000000008,38.40000000000001
2018-01-13,3.100000000000001,14.399999999999995,297.6,930.1000000000001,683.1,213.60000000000008,38.40000000000001
2018-01-14,2.9000000000000012,14.399999999999995,297.6,915.4000000000001,594.7,213.60000000000008,38.40000000000001
2018-01-15,2.500000000000001,14.399999999999995,297.6,680.7500000000001,1009.65,213.60000000000008,38.40000000000001
2018-01-16,2.900000000000001,14.399999999999995,297.6,797.4000000000001,1332.6999999999998,213.60000000000008,38.40000000000001
2018-01-17,3.2000000000000015,14.399999999999995,297.6,599.9000000000001,1348.8999999999999,213.60000000000008,38.40000000000001
2018-01-18,2.500000000000001,14.399999999999995,297.6,606.5000000000001,1367.5,213.60000000000008,38.40000000000001
2018-01-19,3.000000000000001,14.399999999999995,297.6,1224.6,860.5,213.60000000000008,38.40000000000001
2018-01-20,3.1000000000000005,14.399999999999995,297.6,1231.9000000000003,861.7999999999998,213.60000000000008,38.40000000000001
2018-01-21,4.399999999999999,14.399999999999995,297.6,1395.5,503.2,213.60000000000008,38.40000000000001
2018-01-22,3.300000000000001,14.399999999999995,297.6,1317.3999999999999,739.5000000000001,213.60000000000008,38.40000000000001
2018-01-23,2.500000000000001,14.399999999999995,297.6,657.3000000000001,1129.4,213.60000000000008,38.40000000000001
2018-01-24,2.7500000000000013,14.399999999999995,297.6,525.7999999999998,1445.1000000000001,213.60000000000008,38.40000000000001
2018-01-25,3.4000000000000017,14.399999999999995,297.6,862.5999999999999,1079.0,213.60000000000008,38.40000000000001
2018-01-26,4.200000000000001,14.399999999999995,297.6,2416.1999999999994,344.8,213.60000000000008,38.40000000000001
2018-01-27,3.4000000000000017,14.399999999999995,297.6,1008.3000000000001,731.9000000000001,213.60000000000008,38.40000000000001
2018-01-28,2.400000000000001,14.399999999999995,297.6,385.6,1381.1000000000001,213.60000000000008,38.40000000000001
2018-01-29,3.600000000000001,14.399999999999995,297.6,815.6999999999999,1144.0000000000002,213.60000000000008,38.40000000000001
2018-01-30,6.199999999999998,14.399999999999995,297.6,3058.000000000001,384.9000000000001,213.60000000000008,38.40000000000001
2018-01-31,2.5000000000000013,14.399999999999995,297.6,672.6999999999998,1280.3000000000002,213.60000000000008,38.40000000000001
2018-02-01,2.8000000000000016,14.399999999999995,297.6,882.9000000000001,1022.9000000000002,213.60000000000008,38.40000000000001
2018-02-02,4.5,14.399999999999995,297.6,1465.8000000000002,639.1000000000001,213.60000000000008,38.40000000000001
2018-02-03,3.800000000000002,14.399999999999995,297.6,1632.8,356.20000000000005,213.60000000000008,38.40000000000001
