MeasurementDateGMT,Harrow - Stanmore: Nitric Oxide (ug/m3),Harrow - Stanmore: Nitrogen Dioxide (ug/m3),Harrow - Stanmore: Oxides of Nitrogen (ug/m3),Harrow - Stanmore: PM10 Particulate (ug/m3)
2018-01-01,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-02,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-03,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-04,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-05,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-06,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-07,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-08,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-09,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-10,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-11,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-12,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-13,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-14,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-15,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-16,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-17,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-18,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-19,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-20,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-21,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-22,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-23,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-24,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-25,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-26,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-27,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-28,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-29,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-30,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-01-31,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-01,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-02,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-03,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-04,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-05,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-06,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-07,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-08,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-09,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-10,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-11,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-12,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-13,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-14,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-15,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-16,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-17,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-18,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-19,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-20,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-21,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-22,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-23,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-24,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-25,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-26,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-27,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-02-28,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-01,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-02,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-03,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-04,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-05,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-06,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-07,57.59999999999998,199.20000000000007,290.4,477.5999999999998
2018-03-08,57.59999999999998,199.20000000000007,290.4,477.5999999999998
