MeasurementDateGMT,Hillingdon - Keats Way: Nitric Oxide (ug/m3),Hillingdon - Keats Way: Nitrogen Dioxide (ug/m3),Hillingdon - Keats Way: Oxides of Nitrogen (ug/m3),Hillingdon - Keats Way: Ozone (ug/m3)
2018-01-01,397.4,949.1999999999998,1558.3999999999996,1069.1
2018-01-02,1235.6,1674.5,3568.9999999999995,552.0
2018-01-03,145.99999999999997,733.9000000000001,957.4,1352.3
2018-01-04,893.9999999999999,1455.5,2826.2999999999997,815.8
2018-01-05,1883.3000000000002,2026.0000000000002,4913.500000000001,476.30000000000007
2018-01-06,590.3999999999999,883.5,1789.1,513.0
2018-01-07,69.8,410.4999999999999,517.4,1071.8000000000002
2018-01-08,312.8,884.3,1364.0000000000002,333.30000000000007
2018-01-09,2494.2,1516.2999999999995,5340.899999999999,38.400000000000006
2018-01-10,2235.6000000000004,1829.0000000000002,5256.400000000001,239.30000000000004
2018-01-11,1266.2999999999997,1060.6000000000001,3002.4999999999995,30.700000000000003
2018-01-12,1712.4,1531.5,4156.700000000001,94.9
2018-01-13,802.1,1242.5,2472.5,326.4
2018-01-14,722.4,1268.4999999999998,2376.7000000000003,260.3
2018-01-15,575.2,1171.8000000000002,2053.6,664.6999999999997
2018-01-16,367.00000000000006,1214.8999999999999,1777.6000000000001,942.6
2018-01-17,298.4,897.4999999999999,1354.8000000000002,1131.1
2018-01-18,192.64999999999998,809.0500000000001,1103.9999999999998,1174.8999999999999
2018-01-19,1218.1000000000001,1893.2999999999997,3761.3,445.3
2018-01-20,592.9000000000001,1537.9,2447.2000000000003,477.8999999999999
2018-01-21,1665.9000000000003,1861.2000000000003,4415.400000000001,207.3
2018-01-22,571.1999999999999,1263.5000000000002,2139.2000000000003,627.5999999999999
2018-01-23,749.1,1413.1,2561.7,583.5000000000001
2018-01-24,509.1,1221.1999999999998,2002.1000000000001,929.3
2018-01-25,1372.6,1956.3000000000002,4061.1999999999994,426.9
2018-01-26,1195.1000000000001,1413.8500000000001,3246.8500000000004,201.79999999999998
2018-01-27,1038.9999999999998,1539.7999999999997,3133.2000000000007,341.59999999999997
2018-01-28,215.29999999999998,924.3000000000001,1254.7000000000003,944.6999999999999
2018-01-29,469.50000000000006,1138.2,1858.1999999999998,837.6
2018-01-30,3426.16,2158.984,7413.6,170.58800000000002
2018-01-31,980.74,1621.6159999999993,3125.9,690.212
2018-02-01,153.60000000000002,544.5,779.6999999999997,1185.6
2018-02-02,171.4,752.4,1014.7,808.4000000000002
2018-02-03,854.2999999999998,1622.9,2932.8999999999987,215.4
2018-02-04,20.3,317.8,348.9,1095.2
2018-02-05,109.19999999999999,699.7999999999998,867.3999999999999,785.5000000000001
2018-02-06,171.20000000000002,826.9999999999999,1089.8,717.4000000000001
2018-02-07,719.3,1202.3999999999999,2305.5,599.9999999999999
2018-02-08,2243.6000000000004,2185.2000000000003,5625.200000000001,299.0
2018-02-09,161.90000000000006,645.4,893.3999999999999,1196.1000000000001
2018-02-10,1231.8,1824.5,3712.900000000001,413.9
2018-02-11,45.199999999999996,372.50000000000006,442.00000000000006,1494.0000000000002
2018-02-12,1288.6999999999998,1905.8999999999996,3881.8999999999996,539.8
2018-02-13,619.3000000000002,1312.7000000000003,2262.1,778.9
2018-02-14,1766.0999999999997,1799.9999999999998,4508.300000000001,418.7
2018-02-15,722.3,1524.6000000000001,2631.8000000000006,590.6999999999999
2018-02-16,2361.1000000000004,2262.7999999999997,5882.8,262.59999999999997
2018-02-17,2152.9000000000005,2129.5,5430.599999999999,151.0
2018-02-18,1471.7,2046.6000000000004,4303.300000000001,217.2
2018-02-19,890.5,1099.9,2465.300000000001,431.3999999999999
2018-02-20,38.6,412.8000000000001,472.0,1125.8999999999999
2018-02-21,170.3,811.2000000000002,1073.1,729.1999999999998
2018-02-22,257.2,1209.4,1603.5999999999997,675.7
2018-02-23,259.40000000000003,1133.2,1530.9999999999998,661.8999999999999
2018-02-24,151.20000000000002,961.9999999999999,1194.1000000000004,777.3
2018-02-25,90.00000000000001,716.6,854.6000000000001,1096.1
2018-02-26,71.10000000000001,619.5,728.3000000000001,1289.1000000000004
2018-02-27,306.0,1149.5,1619.1,876.3000000000002
2018-02-28,359.00000000000006,1022.3999999999997,1572.8000000000002,896.6
2018-03-01,100.40000000000002,802.9,957.2,988.0999999999999
2018-03-02,144.70000000000002,1053.7,1275.2,690.8999999999999
2018-03-03,323.1,1310.9,1806.2999999999997,326.0999999999999
2018-03-04,954.1999999999999,1888.7,3351.9,287.2
2018-03-05,1010.6,1808.8,3358.0,519.8000000000001
2018-03-06,1539.2999999999997,2065.6,4426.0,393.00000000000006
2018-03-07,1012.1999999999998,1699.6000000000001,3251.7000000000003,475.90000000000003
2018-03-08,673.5,1410.2,2442.8999999999996,882.0000000000001
2018-03-09,2262.0,2103.9999999999995,5572.2,121.50000000000003
2018-03-10,1189.5000000000002,1724.6000000000004,3548.2999999999997,274.8
2018-03-11,751.4000000000001,1435.0,2587.2999999999997,293.0
2018-03-12,226.2,961.0000000000001,1307.9999999999995,552.8000000000001
2018-03-13,933.1,1350.2,2780.7999999999997,573.0
2018-03-14,878.7500000000001,1551.25,2898.4,702.3000000000001
2018-03-15,1025.6,1914.2000000000003,3486.600000000001,599.2000000000002
2018-03-16,906.6,1670.6000000000001,3060.600000000001,654.3
2018-03-17,62.79999999999999,505.6000000000001,601.6999999999999,1141.3999999999999
2018-03-18,73.70000000000002,544.7,657.7,1206.5
2018-03-19,61.89999999999999,475.1,569.7,1607.7999999999997
2018-03-20,42.39999999999999,551.4,616.5999999999999,1546.3999999999999
2018-03-21,540.9000000000001,1260.1999999999996,2089.4,773.0
2018-03-22,517.0,1361.1,2154.3000000000006,957.5999999999999
2018-03-23,721.4000000000001,1624.6999999999996,2730.6,998.6000000000003
2018-03-24,338.3,1142.6000000000001,1660.8,438.3
2018-03-25,289.9,746.4,1191.3999999999999,794.2
2018-03-26,533.0,1498.6999999999996,2315.9999999999995,719.7000000000002
2018-03-27,647.8000000000001,1231.4,2224.5,943.6
2018-03-28,1076.6,1689.1000000000004,3340.3,759.7
2018-03-29,1764.2,2249.7999999999997,4954.999999999999,383.9
2018-03-30,425.4,1438.1999999999994,2090.3999999999996,618.9999999999999
2018-03-31,387.69999999999993,832.6000000000001,1426.9999999999995,945.4
2018-04-01,244.0,815.9,1189.6,1156.1999999999998
2018-04-02,727.8999999999999,1556.6999999999998,2672.7,599.3000000000001
2018-04-03,848.1999999999999,1661.0000000000002,2961.0000000000005,706.9000000000002
2018-04-04,575.5999999999999,1302.1,2184.3999999999996,1038.8
2018-04-05,394.40000000000003,1052.1999999999998,1657.0000000000002,1208.6
2018-04-06,1213.3999999999999,1819.0000000000002,3679.7999999999997,616.7999999999998
2018-04-07,876.1,1773.8999999999999,3117.1,373.2
2018-04-08,434.8000000000001,1056.9,1723.5,466.90000000000003
2018-04-09,294.40000000000003,1177.1,1628.8000000000002,501.9
2018-04-10,197.24999999999997,1113.94,1415.3,607.3000000000001
2018-04-11,137.10000000000002,728.26,937.2,672.1999999999999
2018-04-12,73.0,504.19999999999993,615.8999999999999,750.0
2018-04-13,961.5,1406.1999999999998,2880.3,412.90000000000003
2018-04-14,956.3000000000001,1711.5,3177.5,483.6
2018-04-15,725.3000000000001,1621.8,2733.7999999999997,518.7
2018-04-16,814.4000000000001,1704.4,2953.1,868.2999999999998
2018-04-17,608.5,1506.7999999999997,2439.4,1019.0
2018-04-18,1048.7,1945.2999999999997,3552.8,522.2
