MeasurementDateGMT,Richmond Upon Thames - Barnes Wetlands: Nitric Oxide (ug/m3),Richmond Upon Thames - Barnes Wetlands: Nitrogen Dioxide (ug/m3),Richmond Upon Thames - Barnes Wetlands: Oxides of Nitrogen (ug/m3),Richmond Upon Thames - Barnes Wetlands: Ozone (ug/m3),Richmond Upon Thames - Barnes Wetlands: PM10 Particulate (ug/m3)
2018-01-01,32.099999999999994,219.3,268.29999999999995,1433.2,177.5
2018-01-02,60.2,321.29999999999995,413.59999999999997,1178.7000000000003,343.0
2018-01-03,40.9,195.69999999999996,258.3,1622.1999999999998,446.00000000000006
2018-01-04,49.900000000000006,335.3,411.59999999999997,1344.0,257.0
2018-01-05,94.9,471.29999999999995,616.8999999999999,1175.6,189.00000000000003
2018-01-06,312.90000000000003,861.7,1341.3000000000002,460.70000000000005,350.5
2018-01-07,53.69999999999999,370.3,451.9999999999999,1047.4,262.09999999999997
2018-01-08,76.5,562.0,679.4999999999999,489.9999999999997,382.6
2018-01-09,391.0,747.5,1346.7,144.5,603.9999999999999
2018-01-10,766.9000000000001,840.0,2015.8000000000002,573.6999999999999,334.5999999999999
2018-01-11,1157.8000000000002,869.1999999999998,2644.6,45.499999999999986,532.1
2018-01-12,148.89999999999998,627.2,855.3000000000001,479.99999999999994,462.7
2018-01-13,56.3,326.3,412.5999999999999,801.6000000000001,478.70000000000005
2018-01-14,46.69999999999999,416.1000000000001,487.40000000000003,709.0000000000002,521.3
2018-01-15,41.6,274.9,338.2,1135.8999999999996,216.59999999999997
2018-01-16,45.099999999999994,272.5,341.2,1514.0000000000002,144.7
2018-01-17,56.9,321.29999999999995,408.2,1430.8999999999999,228.6
2018-01-18,70.69999999999999,481.19999999999993,589.55,1286.8000000000002,148.3
2018-01-19,74.10000000000002,467.70000000000005,581.7,1170.2000000000003,231.3
2018-01-20,80.6,698.4,821.9000000000001,1017.4999999999998,172.7
2018-01-21,62.800000000000004,621.5999999999998,718.0000000000001,679.0,293.99999999999994
2018-01-22,91.0,597.8,737.7999999999998,925.4,273.7000000000001
2018-01-23,50.29999999999999,171.29999999999998,248.49999999999997,1369.4,170.79999999999995
2018-01-24,30.400000000000006,175.19999999999996,221.9,1556.2000000000007,167.70000000000002
2018-01-25,47.7,294.8,368.0,1309.3999999999996,302.19999999999993
2018-01-26,548.6000000000001,936.1,1777.3999999999996,373.00000000000017,327.6
2018-01-27,99.99999999999996,439.5,592.9000000000001,880.3,272.5
2018-01-28,32.7,110.69999999999997,160.6,1492.8999999999996,137.29999999999998
2018-01-29,42.0,437.0,501.0999999999999,1240.0,162.39999999999998
2018-01-30,424.95,834.9,1486.0000000000002,473.4,336.8000000000001
2018-01-31,34.699999999999996,273.3,326.70000000000005,1439.7000000000003,185.7
2018-02-01,74.30000000000001,408.2000000000001,522.0999999999999,1153.5999999999997,203.3
2018-02-02,262.8,708.1999999999999,1111.6,714.9,332.0
2018-02-03,113.59999999999998,923.9,1098.2,411.7,266.9
2018-02-04,21.299999999999997,349.2,381.4000000000001,1006.9999999999998,188.3
2018-02-05,48.69999999999999,609.6,684.5999999999998,859.7000000000002,263.6
2018-02-06,139.1,848.4999999999999,1062.3000000000002,628.1999999999999,414.1
2018-02-07,310.8,977.1,1453.1999999999998,571.7000000000003,365.7
2018-02-08,327.49999999999994,774.0999999999998,1276.7000000000003,903.6999999999998,360.1
2018-02-09,24.500000000000007,459.40000000000003,496.79999999999995,1275.5,197.0
2018-02-10,47.7,407.90000000000003,481.0999999999999,1105.6999999999998,214.29999999999998
2018-02-11,26.000000000000007,261.2,301.30000000000007,1502.9,118.40000000000002
2018-02-12,64.2,461.8,560.5000000000001,1267.5999999999995,225.5
2018-02-13,72.99999999999999,454.8999999999999,567.1,1317.3,184.99999999999997
2018-02-14,122.80000000000001,540.3,729.3,938.1000000000003,251.20000000000002
2018-02-15,81.99999999999999,433.0,558.9000000000001,1233.9999999999998,273.3999999999999
2018-02-16,103.99999999999999,669.9000000000001,829.8000000000001,886.6,341.80000000000007
2018-02-17,385.40000000000003,914.9999999999999,1505.4999999999998,671.1999999999998,479.50000000000006
2018-02-18,171.3,552.5000000000001,815.0000000000001,1032.4,396.09999999999997
2018-02-19,200.4,711.0999999999999,1018.0000000000001,633.1999999999998,391.40000000000003
2018-02-20,28.066666666666666,512.5,555.5933333333332,926.6499999999999,232.10000000000002
2018-02-21,108.03333333333335,661.7,827.7066666666665,810.3000000000001,833.6999999999999
2018-02-22,63.5,658.0000000000001,755.1999999999999,1104.9999999999998,658.1999999999999
2018-02-23,87.80000000000001,829.5,964.3,866.4999999999997,603.2999999999998
2018-02-24,90.79999999999998,728.3000000000002,867.8000000000001,932.7999999999997,774.7999999999998
2018-02-25,46.199999999999996,492.4,562.9,1267.2000000000003,395.1000000000001
2018-02-26,46.89999999999999,498.1,569.8,1381.8000000000004,263.79999999999995
2018-02-27,72.0,783.0,893.8000000000001,1142.9999999999998,260.9
2018-02-28,87.70000000000002,755.0999999999999,889.4999999999999,1063.4999999999998,488.90000000000003
2018-03-01,133.3,706.0000000000001,910.7000000000002,1029.2999999999997,931.6
2018-03-02,65.8,895.2,996.3,731.8000000000003,983.0
2018-03-03,117.9,1066.6000000000001,1247.6,392.90000000000003,1438.0
2018-03-04,68.60000000000001,640.6000000000001,746.1999999999999,977.4,669.5000000000001
2018-03-05,25.599999999999994,444.6,484.30000000000007,1392.4000000000008,383.2
2018-03-06,118.89999999999999,636.2000000000002,818.6999999999999,1145.9,253.7
2018-03-07,432.3,942.9000000000001,1605.5,819.8,385.4
2018-03-08,24.3,304.4,341.70000000000005,1601.6000000000004,196.10000000000002
