MeasurementDateGMT,Newham - Wren Close: Nitric Oxide (ug/m3),Newham - Wren Close: Nitrogen Dioxide (ug/m3),Newham - Wren Close: Oxides of Nitrogen (ug/m3),Newham - Wren Close: PM10 Particulate (ug/m3)
2018-01-01,32.4,496.2,545.3,280.0
2018-01-02,75.59999999999998,699.8000000000001,815.3999999999999,399.0
2018-01-03,32.2,468.50000000000006,517.7,590.0
2018-01-04,74.79999999999998,652.0999999999999,766.7999999999998,327.0
2018-01-05,170.0,984.3000000000001,1245.1,360.0
2018-01-06,916.5999999999998,1145.4999999999998,2550.8999999999996,553.0
2018-01-07,51.00000000000001,465.70000000000005,543.7,342.0
2018-01-08,119.19999999999999,677.9000000000002,860.5000000000001,511.0
2018-01-09,513.1,886.1000000000001,1672.7000000000003,843.0
2018-01-10,969.4999999999999,1321.3999999999999,2808.1,540.0
2018-01-11,931.3000000000003,1094.8,2522.5000000000005,685.0
2018-01-12,240.89999999999995,879.1499999999999,1248.25,601.0
2018-01-13,50.30000000000001,506.69999999999993,583.8999999999999,609.0
2018-01-14,92.5,738.9000000000002,880.5999999999999,672.0
2018-01-15,66.6,616.9999999999999,719.2999999999998,242.0
2018-01-16,109.32500000000002,643.575,810.5000000000003,265.5
2018-01-17,126.12499999999997,691.575,883.7000000000002,384.5
2018-01-18,100.69999999999999,600.4,754.3999999999999,280.5
2018-01-19,116.0,850.6999999999999,1028.9,374.0
2018-01-20,79.69999999999999,902.2,1024.7,270.0
2018-01-21,213.79999999999995,1053.9,1381.6999999999998,372.0
2018-01-22,224.6,1016.5000000000002,1360.6,372.0
2018-01-23,45.69999999999999,523.4999999999999,593.85,228.0
2018-01-24,35.900000000000006,416.90000000000003,471.90000000000003,189.0
2018-01-25,80.0,724.9000000000001,848.0,445.0
2018-01-26,375.0,1225.2,1799.8999999999996,513.0
2018-01-27,188.70000000000002,811.8000000000001,1101.7,410.0
2018-01-28,27.6,327.0999999999999,369.5,156.0
2018-01-29,129.1,758.0,955.8,247.0
2018-01-30,621.2,1304.2,2256.7,502.0
2018-01-31,61.5,615.6,710.2,227.0
2018-02-01,181.7,788.0999999999999,1066.4,330.0
2018-02-02,387.9,1008.6999999999999,1603.1999999999998,406.0
2018-02-03,221.59999999999997,1217.5000000000002,1556.7,385.0
2018-02-04,55.10000000000001,436.6,521.0,269.0
2018-02-05,104.19999999999999,619.6999999999999,779.9999999999999,371.0
2018-02-06,217.2,853.7999999999998,1187.0,558.0
2018-02-07,503.9,1167.1000000000001,1939.5999999999997,547.0
2018-02-08,430.7999999999999,1163.6999999999996,1823.7,526.0
2018-02-09,150.0,817.8000000000001,1048.0,274.0
2018-02-10,114.7,793.7,969.5999999999999,255.0
2018-02-11,53.99999999999999,422.1,504.40000000000003,178.0
2018-02-12,141.29999999999998,861.9,1078.4,367.0
2018-02-13,50.2,532.5,609.8,294.0
2018-02-14,238.2,721.2999999999998,1085.9999999999998,333.0
2018-02-15,95.79999999999998,817.9999999999999,964.8000000000001,412.0
2018-02-16,212.60000000000002,1114.6000000000004,1440.2999999999997,517.0
2018-02-17,667.3999999999999,1374.8,2398.2000000000007,703.0
2018-02-18,408.69999999999993,952.6999999999997,1579.0000000000002,571.0
2018-02-19,418.4000000000001,1100.0,1741.5000000000005,425.0
2018-02-20,130.59999999999997,595.7,795.8000000000002,238.0
2018-02-21,207.15,804.9499999999999,1122.5000000000002,1041.0
2018-02-22,90.3,812.9000000000001,951.3000000000001,718.0
2018-02-23,151.99999999999997,908.1999999999999,1141.1,654.0
2018-02-24,69.99999999999997,739.2000000000002,846.8999999999999,775.0
2018-02-25,36.0,423.20000000000005,478.9,428.0
2018-02-26,61.3,477.80000000000007,571.6,316.0
2018-02-27,163.39999999999998,934.9999999999999,1185.3999999999999,349.0
2018-02-28,258.5,850.1000000000001,1246.4,555.0
2018-03-01,59.50000000000001,612.3999999999999,703.3999999999999,1018.0
2018-03-02,93.30000000000001,901.1,1044.1999999999998,1166.0
2018-03-03,126.8,1067.3,1261.8999999999999,1797.0
2018-03-04,138.99999999999997,883.9999999999999,1097.6000000000001,540.0
2018-03-05,61.19999999999999,696.6000000000001,790.9000000000001,390.0
2018-03-06,167.8,1054.6,1311.8,393.0
2018-03-07,559.9,1396.6999999999998,2255.0999999999995,502.0
2018-03-08,65.39999999999999,615.4,715.8000000000001,260.0
2018-03-09,342.1000000000001,1147.4,1671.4,484.0
2018-03-10,70.4,622.5,730.2,483.0
2018-03-11,272.40000000000003,1105.5,1522.9999999999998,584.0
2018-03-12,335.4,1047.6,1561.8999999999999,297.0
2018-03-13,222.64999999999998,1001.8,1343.35,383.0
2018-03-14,56.899999999999984,567.7000000000002,654.6999999999999,372.0
2018-03-15,113.8,794.7,969.4,314.0
2018-03-16,90.49999999999999,664.5,802.5999999999999,505.0
2018-03-17,45.7,405.7,476.1000000000001,462.0
2018-03-18,40.800000000000004,393.6,456.2,712.0
2018-03-19,58.800000000000004,472.3999999999999,562.0999999999999,530.0
2018-03-20,60.75,663.65,756.95,456.0
2018-03-21,450.9,1279.3,1970.5000000000002,596.0
2018-03-22,127.09999999999998,745.2000000000002,940.5000000000002,522.0
2018-03-23,55.70000000000001,392.09999999999997,477.6,491.0
2018-03-24,56.5,763.8,850.8999999999999,723.5
2018-03-25,288.9,861.8000000000001,1305.1,856.0
2018-03-26,143.14999999999998,985.9499999999999,1206.05,415.0
2018-03-27,136.79999999999998,680.1000000000001,889.8,281.0
2018-03-28,122.09999999999998,974.8000000000001,1161.6000000000001,240.0
2018-03-29,128.2,666.3000000000001,862.6,272.0
2018-03-30,57.99999999999999,530.9,620.1,248.0
2018-03-31,104.5,490.7,650.9,206.0
2018-04-01,47.60000000000001,451.59999999999997,524.8000000000001,340.0
2018-04-02,44.5,317.7,386.1,232.0
2018-04-03,71.5,424.20000000000005,533.9,347.0
