MeasurementDateGMT,Ealing - Horn Lane TEOM: PM10 Particulate (ug/m3)
2018-01-01,506.99999999999994
2018-01-02,481.49999999999994
2018-01-03,680.6
2018-01-04,1096.3000000000002
2018-01-05,623.2
2018-01-06,605.7
2018-01-07,355.80000000000007
2018-01-08,459.40000000000003
2018-01-09,758.8
2018-01-10,690.3000000000001
2018-01-11,585.6000000000001
2018-01-12,592.4
2018-01-13,600.5999999999998
2018-01-14,696.0999999999997
2018-01-15,335.90000000000003
2018-01-16,1476.0000000000002
2018-01-17,595.8999999999999
2018-01-18,594.5999999999999
2018-01-19,579.6
2018-01-20,231.3
2018-01-21,356.1000000000001
2018-01-22,449.3
2018-01-23,327.6
2018-01-24,267.29999999999995
2018-01-25,561.0
2018-01-26,644.9999999999999
2018-01-27,415.80000000000007
2018-01-28,153.60000000000002
2018-01-29,421.30000000000007
2018-01-30,658.5
2018-01-31,300.00000000000006
2018-02-01,443.6000000000001
2018-02-02,622.0
2018-02-03,373.79999999999995
2018-02-04,301.0
2018-02-05,548.8999999999999
2018-02-06,819.4000000000001
2018-02-07,834.8000000000002
2018-02-08,827.4000000000001
2018-02-09,433.8000000000001
2018-02-10,327.2
2018-02-11,204.90000000000003
2018-02-12,892.9000000000002
2018-02-13,240.50000000000003
2018-02-14,333.40000000000003
2018-02-15,578.8
2018-02-16,802.2000000000002
2018-02-17,905.5
2018-02-18,619.5
2018-02-19,552.1
2018-02-20,341.29999999999995
2018-02-21,1184.8
2018-02-22,958.4
2018-02-23,881.5999999999998
2018-02-24,864.9000000000001
2018-02-25,476.8
2018-02-26,531.8000000000001
2018-02-27,448.99999999999994
2018-02-28,557.3000000000001
2018-03-01,998.5
2018-03-02,1036.0
2018-03-03,1482.2
2018-03-04,677.8000000000002
2018-03-05,479.20000000000005
2018-03-06,515.1999999999999
2018-03-07,817.7
2018-03-08,635.4
2018-03-09,623.5000000000001
2018-03-10,522.8
2018-03-11,641.8000000000001
2018-03-12,322.59999999999997
2018-03-13,725.8
2018-03-14,490.5
2018-03-15,363.29999999999995
2018-03-16,850.0000000000001
2018-03-17,442.9000000000001
2018-03-18,686.1999999999999
2018-03-19,640.0000000000001
2018-03-20,671.75
2018-03-21,1060.1000000000001
2018-03-22,1083.9
2018-03-23,1003.3
2018-03-24,716.0000000000001
2018-03-25,915.1
2018-03-26,935.8999999999997
2018-03-27,459.7
2018-03-28,356.1
2018-03-29,299.90000000000003
2018-03-30,262.70000000000005
2018-03-31,262.0
2018-04-01,420.1
2018-04-02,296.20000000000005
2018-04-03,421.70000000000005
2018-04-04,359.7
2018-04-05,450.29999999999995
2018-04-06,671.6
2018-04-07,733.6
2018-04-08,466.59999999999997
2018-04-09,595.0
2018-04-10,793.6
2018-04-11,1045.6
2018-04-12,972.8999999999999
2018-04-13,947.8999999999999
2018-04-14,963.0000000000002
2018-04-15,747.5000000000001
2018-04-16,878.3
2018-04-17,881.9000000000001
2018-04-18,746.4000000000002
2018-04-19,1143.8999999999999
2018-04-20,1183.4
2018-04-21,1071.1
2018-04-22,779.0999999999999
2018-04-23,845.3
2018-04-24,659.3000000000001
2018-04-25,729.1
2018-04-26,878.9999999999999
2018-04-27,435.4
2018-04-28,257.59999999999997
2018-04-29,302.30000000000007
2018-04-30,396.3
2018-05-01,778.4000000000002
2018-05-02,272.20000000000005
2018-05-03,732.0
2018-05-04,890.7
2018-05-05,751.6
2018-05-06,812.8000000000001
2018-05-07,941.6999999999997
2018-05-08,1277.3999999999999
2018-05-09,844.9999999999999
