MeasurementDateGMT,Greenwich - Eltham: Nitric Oxide (ug/m3),Greenwich - Eltham: Nitrogen Dioxide (ug/m3),Greenwich - Eltham: Oxides of Nitrogen (ug/m3),Greenwich - Eltham: Ozone (ug/m3),Greenwich - Eltham: PM10 Particulate (ug/m3),Greenwich - Eltham: PM2.5 Particulate (ug/m3),Greenwich - Eltham: Sulphur Dioxide (ug/m3)
2018-01-01,36.7,231.10000000000005,287.5999999999999,1328.0,336.0,175.4,24.89999999999999
2018-01-02,66.90000000000002,290.09999999999997,392.3999999999999,1128.2,336.0,194.49999999999997,12.7
2018-01-03,45.64999999999999,208.39999999999995,277.90000000000003,1462.2999999999997,336.0,277.65,6.4
2018-01-04,91.19999999999999,353.25,493.3999999999999,1184.0999999999997,336.0,197.50000000000006,-2.7000000000000006
2018-01-05,141.70000000000002,508.99999999999994,726.7,1017.5,336.0,196.00000000000003,51.00000000000001
2018-01-06,228.05,547.15,897.3000000000001,482.5,336.0,331.50000000000006,17.499999999999996
2018-01-07,28.999999999999996,167.89999999999998,211.50000000000003,1091.9,336.0,158.4,5.500000000000001
2018-01-08,52.95,397.0,478.15000000000003,487.34999999999997,336.0,352.6,10.100000000000001
2018-01-09,429.2000000000001,585.3000000000002,1243.3500000000001,111.5,336.0,674.5,26.200000000000006
2018-01-10,681.0500000000001,730.9,1775.1000000000004,469.09999999999997,463.59999999999997,269.6523809523809,27.300000000000004
2018-01-11,777.7,705.0,1897.5500000000004,29.6,623.9,482.6476190476191,39.9
2018-01-12,206.49999999999997,599.6,916.2000000000003,368.70000000000005,550.3000000000001,517.6894736842105,11.899999999999999
2018-01-13,79.0,375.75,496.65000000000003,680.9999999999999,576.2,437.30526315789484,10.3
2018-01-14,72.89999999999999,527.05,638.9499999999999,506.8,641.1999999999999,467.621052631579,9.200000000000001
2018-01-15,56.750000000000014,312.6499999999999,399.25,1063.8,212.7,210.28421052631575,15.099999999999998
2018-01-16,66.15,340.90000000000003,442.70000000000005,1318.3,205.10000000000005,144.20000000000002,-2.4
2018-01-17,63.55,328.7,425.84999999999997,1237.4,325.69999999999993,160.9463414634146,11.299999999999999
2018-01-18,64.94999999999999,433.95000000000005,533.2,1194.8,220.75,179.06926829268286,13.9
2018-01-19,138.2,612.95,824.4000000000001,956.2000000000002,320.5,178.2263414634146,5.4
2018-01-20,43.199999999999996,444.65,511.3,1086.8000000000002,208.80000000000004,177.38341463414633,18.1
2018-01-21,86.94999999999999,549.05,683.0499999999998,595.1000000000001,307.5,176.54048780487807,24.7
2018-01-22,112.69999999999999,613.9,786.7,786.1999999999999,323.4000000000001,175.69756097560978,6.3
2018-01-23,51.14999999999999,203.7,282.25000000000006,1314.2,163.7,174.8546341463415,14.299999999999997
2018-01-24,46.25,191.75,262.75000000000006,1458.6,140.65,174.01170731707322,14.4
2018-01-25,65.54999999999998,292.54999999999995,392.65000000000003,1287.2,374.2,173.1687804878049,17.300000000000004
2018-01-26,284.29999999999995,759.8000000000001,1195.8,388.4,414.9000000000001,172.32585365853652,28.6
2018-01-27,187.04999999999998,443.15,730.05,827.4000000000001,310.09999999999997,171.48292682926825,24.39999999999999
2018-01-28,41.39999999999999,187.5,251.30000000000004,1300.7999999999997,136.3,170.64,19.600000000000005
2018-01-29,50.15,394.25,471.45,1210.3999999999999,168.70000000000002,169.79707317073172,12.799999999999999
2018-01-30,375.05,756.15,1331.6999999999998,509.04999999999995,351.19999999999993,168.95414634146343,26.25
2018-01-31,69.94999999999999,355.0,462.04999999999995,1244.7999999999997,193.5,168.11121951219516,24.400000000000002
2018-02-01,62.30000000000002,440.1500000000001,535.6500000000001,1001.5999999999998,259.6,167.26829268292687,27.60000000000001
2018-02-02,137.85,606.25,817.55,627.8000000000001,340.1000000000001,166.42536585365852,9.1
2018-02-03,166.85,760.35,1016.3,421.70000000000005,353.90000000000003,165.5824390243902,31.6
2018-02-04,32.25,151.45,200.6,1076.1999999999998,211.10000000000002,164.7395121951219,26.2
2018-02-05,52.9,402.09999999999997,483.25,863.3,306.70000000000005,163.89658536585367,2.7
2018-02-06,88.75,593.85,729.4500000000002,706.9000000000001,466.70000000000005,163.05365853658537,20.700000000000006
2018-02-07,353.75,780.5000000000001,1322.3,601.0000000000002,414.50000000000006,162.21073170731708,27.6
2018-02-08,248.15,606.7999999999998,986.6500000000002,980.6,368.1,161.36780487804882,30.700000000000003
2018-02-09,48.65,427.20000000000005,502.15000000000015,1162.6999999999998,231.7,160.52487804878052,18.199999999999996
2018-02-10,56.50000000000001,335.2,421.9500000000001,1094.1,220.10000000000002,159.68195121951214,12.300000000000002
2018-02-11,39.9,214.0,275.25,1404.0,157.2,158.83902439024385,23.399999999999995
2018-02-12,113.30000000000001,488.04999999999995,661.9999999999999,1109.6000000000001,277.30000000000007,157.99609756097558,13.300000000000002
2018-02-13,63.0,265.84999999999997,362.44999999999993,1303.3000000000002,194.0,157.15317073170732,13.899999999999997
2018-02-14,180.95,385.5500000000001,662.9999999999999,948.8000000000001,286.09999999999997,156.31024390243903,27.299999999999997
2018-02-15,76.35000000000001,407.34999999999997,524.5,1032.0,378.5,155.46731707317073,21.049999999999997
2018-02-16,142.35,576.65,794.4999999999998,755.2999999999998,362.79999999999995,154.62439024390247,22.3
2018-02-17,325.40000000000003,719.05,1217.5500000000002,568.0000000000001,495.99999999999994,153.78146341463417,27.000000000000007
2018-02-18,58.49999999999999,300.3999999999999,390.04999999999995,1047.2,461.2,152.93853658536582,18.3
2018-02-19,239.35000000000002,647.1999999999998,1014.45,393.79999999999995,356.09999999999997,152.09560975609753,23.600000000000005
2018-02-20,58.349999999999994,323.84999999999997,413.5999999999999,755.4000000000001,200.40000000000003,151.25268292682927,24.5
2018-02-21,88.25000000000001,497.50000000000006,632.6500000000001,752.0,1020.7999999999998,150.40975609756097,29.599999999999998
2018-02-22,49.7,490.15000000000003,566.3499999999999,1027.1,661.2500000000001,149.56682926829268,2.299999999999999
2018-02-23,70.10000000000001,519.2,626.4000000000001,926.4999999999999,595.1,148.7239024390244,11.5
2018-02-24,74.0,510.2,622.8000000000001,951.4,718.6999999999999,147.88097560975612,27.199999999999996
2018-02-25,46.300000000000004,260.29999999999995,330.95,1315.6,397.80000000000007,147.03804878048783,14.799999999999999
2018-02-26,31.35,218.0,266.5,1407.8,256.59999999999997,146.1951219512195,19.300000000000008
2018-02-27,178.79999999999998,604.25,878.3,1036.6000000000001,270.6,145.3521951219512,25.4
2018-02-28,175.09999999999997,560.9,829.6500000000002,1031.1999999999998,541.3000000000001,144.50926829268292,27.400000000000006
2018-03-01,43.05,442.3,508.04999999999995,1103.1,1030.9999999999998,143.66634146341462,20.800000000000004
2018-03-02,50.8,591.25,669.4000000000001,849.8000000000001,1199.7999999999997,142.82341463414633,14.799999999999995
2018-03-03,93.95,797.6500000000001,941.25,456.0,1782.5000000000005,141.98048780487807,35.599999999999994
2018-03-04,63.599999999999994,463.7,561.4000000000002,947.2,461.20000000000005,141.13756097560977,25.099999999999998
2018-03-05,53.599999999999994,372.55,455.0,1367.9,342.1,140.2946341463415,29.3
2018-03-06,122.70000000000002,562.9,751.4,1085.5,263.29999999999995,139.4517073170732,17.299999999999997
2018-03-07,241.45,875.4499999999999,1245.8,715.4000000000001,364.3999999999999,138.60878048780486,31.3
2018-03-08,55.84999999999999,304.9,390.4,1500.5000000000002,206.89999999999998,137.76585365853657,14.6
2018-03-09,152.8,588.6,822.6,723.3000000000001,354.6,181.47560975609758,30.900000000000002
2018-03-10,45.65,253.00000000000003,322.79999999999995,1077.9999999999998,383.9,208.30000000000007,44.39999999999999
2018-03-11,132.55,747.0,949.7,497.80000000000007,441.7,259.8,18.099999999999998
2018-03-12,92.34999999999998,617.5,758.6500000000001,546.55,183.29999999999995,135.6,8.05
2018-03-13,101.2,553.15,709.25,770.3,281.05000000000007,187.09999999999997,20.5
2018-03-14,62.6,277.04999999999995,373.1500000000001,1395.9999999999998,274.99627329192543,141.79999999999998,21.1
2018-03-15,63.29999999999999,429.4,526.95,1258.1,291.89068322981365,131.1,17.299999999999997
2018-03-16,49.75000000000001,394.20000000000005,470.50000000000006,1377.3,319.08074534161494,174.6,16.099999999999994
2018-03-17,33.25,235.5,286.3,1149.9999999999998,346.27080745341624,305.80000000000007,30.6
2018-03-18,34.800000000000004,210.2,263.54999999999995,1355.3,373.4608695652175,410.70000000000005,29.000000000000007
