MeasurementDateGMT,Lewisham - Deptford: Nitric Oxide (ug/m3),Lewisham - Deptford: Nitrogen Dioxide (ug/m3),Lewisham - Deptford: Oxides of Nitrogen (ug/m3)
2018-01-01,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-02,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-03,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-04,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-05,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-06,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-07,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-08,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-09,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-10,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-11,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-12,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-13,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-14,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-15,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-16,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-17,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-18,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-19,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-20,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-21,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-22,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-23,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-24,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-25,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-26,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-27,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-28,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-29,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-30,153.60000000000005,578.4000000000002,811.1999999999997
2018-01-31,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-01,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-02,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-03,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-04,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-05,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-06,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-07,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-08,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-09,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-10,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-11,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-12,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-13,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-14,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-15,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-16,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-17,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-18,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-19,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-20,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-21,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-22,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-23,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-24,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-25,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-26,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-27,153.60000000000005,578.4000000000002,811.1999999999997
2018-02-28,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-01,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-02,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-03,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-04,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-05,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-06,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-07,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-08,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-09,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-10,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-11,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-12,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-13,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-14,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-15,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-16,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-17,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-18,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-19,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-20,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-21,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-22,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-23,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-24,153.60000000000005,578.4000000000002,811.1999999999997
2018-03-25,153.60000000000005,578.4000000000002,811.1999999999997
