MeasurementDateGMT,Camden - Swiss Cottage: Nitric Oxide (ug/m3),Camden - Swiss Cottage: Nitrogen Dioxide (ug/m3),Camden - Swiss Cottage: Oxides of Nitrogen (ug/m3),Camden - Swiss Cottage: PM10 Particulate (ug/m3),Camden - Swiss Cottage: PM2.5 Particulate (ug/m3)
2018-01-01,254.99999999999997,641.2000000000002,1032.0,242.60000000000002,99.5
2018-01-02,681.4000000000002,960.2,2005.1000000000001,387.00000000000006,126.50000000000001
2018-01-03,132.2,433.00000000000006,636.3000000000001,498.5,169.3
2018-01-04,704.8999999999999,904.0999999999999,1984.2999999999997,286.5,117.89999999999999
2018-01-05,1081.35,1313.1500000000003,2971.25,344.80000000000007,160.1
2018-01-06,1223.5,1148.5,3024.600000000001,511.8,300.8999999999999
2018-01-07,422.6,558.3000000000001,1206.6,325.5,74.0
2018-01-08,1358.2,943.1999999999998,3025.9,489.09999999999997,317.40000000000003
2018-01-09,2607.9999999999995,1263.3,5262.3,821.8000000000001,615.7
2018-01-10,1588.1000000000001,1528.8,3964.3000000000006,504.80000000000007,307.3
2018-01-11,3798.7999999999997,1572.3000000000004,7397.5,754.5999999999999,569.4
2018-01-12,2571.9000000000005,1414.8999999999999,5358.399999999999,703.6,512.4
2018-01-13,1308.4,1042.2,3048.7999999999997,685.6999999999999,507.2999999999999
2018-01-14,1161.5,1101.0999999999997,2882.0000000000005,726.5000000000001,582.6
2018-01-15,408.5999999999999,758.35,1385.1499999999999,209.0,121.8
2018-01-16,292.4,731.0,1179.3999999999999,220.8,69.30000000000001
2018-01-17,321.8,703.9999999999999,1197.1999999999998,323.40000000000003,86.89999999999999
2018-01-18,282.70000000000005,670.0,1102.8999999999999,207.3,67.0
2018-01-19,856.0999999999998,1299.8000000000002,2612.2,343.9,137.0
2018-01-20,1571.7,1574.8000000000002,3984.7,311.59999999999997,180.39999999999998
2018-01-21,1195.4999999999998,1352.8999999999999,3185.9,372.6,293.69999999999993
2018-01-22,860.2307692307692,1098.3076923076922,2416.392307692308,351.7348837209302,169.34651162790686
2018-01-23,872.108875739645,1228.1041420118345,2563.9881656804732,268.71627906976744,105.48837209302324
2018-01-24,771.905325443787,1227.4224852071009,2409.592899408284,196.34883720930233,88.66511627906976
2018-01-25,671.701775147929,1226.740828402367,2255.1976331360947,427.4,172.59999999999997
2018-01-26,571.498224852071,1226.059171597633,2100.8023668639053,686.4,359.9
2018-01-27,471.29467455621307,1225.3775147928993,1946.407100591716,369.8999999999999,275.99999999999994
2018-01-28,371.09112426035506,1224.6958579881657,1792.0118343195263,162.0,100.60000000000001
2018-01-29,1051.9692307692308,1523.4923076923076,3135.8076923076915,226.29999999999998,124.3
2018-01-30,2150.9999999999995,1797.6000000000001,5095.499999999999,582.1999999999999,313.1
2018-01-31,372.95000000000005,908.3,1480.35,221.9,97.1
2018-02-01,629.6,935.9000000000001,1901.5,271.3,110.99999999999999
2018-02-02,1975.7000000000005,1486.7999999999997,4516.900000000001,479.40000000000003,224.4
2018-02-03,1897.3000000000004,1860.6,4769.9,389.3,297.2
2018-02-04,1126.0,979.1,2705.4999999999995,306.4,158.7
2018-02-05,1427.3,1174.4000000000003,3363.2999999999997,499.29999999999995,222.79999999999998
2018-02-06,3662.4000000000005,2107.7,7723.200000000002,860.0000000000002,438.69999999999993
2018-02-07,3624.4,2179.1,7736.3,1010.9,319.7999999999999
2018-02-08,1343.7000000000003,1589.3999999999996,3649.500000000001,530.3000000000001,277.69999999999993
2018-02-09,630.4000000000001,1046.3999999999999,2012.6000000000001,254.09999999999997,105.90000000000002
2018-02-10,624.6999999999999,1184.1000000000001,2141.9,244.29999999999995,131.7
2018-02-11,138.4,473.7,686.0,119.79999999999997,30.099999999999998
2018-02-12,778.4000000000001,1295.7999999999997,2489.5,318.30000000000007,136.59999999999997
2018-02-13,1450.45,1427.7499999999998,3652.3,278.85,162.1
2018-02-14,1381.7999999999995,1377.5000000000002,3496.4000000000005,395.3,209.50000000000006
2018-02-15,471.09999999999997,1082.4,1804.6000000000001,405.7000000000001,161.29999999999998
2018-02-16,1659.1,1834.2,4378.5,570.4000000000002,226.29999999999998
2018-02-17,1725.3,1849.9,4495.500000000001,762.1999999999999,365.2
2018-02-18,839.9,1485.7999999999997,2773.4999999999995,583.3000000000001,347.70000000000005
2018-02-19,1633.6999999999998,1419.3,3924.3,498.99999999999994,377.0
2018-02-20,2028.0999999999997,1464.6000000000001,4574.699999999999,365.1,203.50000000000003
2018-02-21,2590.2,1704.9999999999998,5676.299999999999,1219.7000000000003,851.8
2018-02-22,1586.1,1560.1999999999998,3992.2999999999997,804.6,530.6000000000001
2018-02-23,1376.7999999999997,1441.9,3552.600000000001,729.4,455.2
2018-02-24,874.3999999999999,1154.7,2495.1,819.7,496.6
2018-02-25,625.5,876.0999999999998,1835.1000000000004,447.5,208.60000000000002
2018-02-26,1123.3999999999996,1114.5000000000002,2836.8999999999996,629.1999999999999,146.1
2018-02-27,2456.2,1887.25,5653.95,636.8000000000001,196.4
2018-02-28,1493.6999999999998,1378.3,3668.200000000001,580.5999999999999,401.29999999999995
2018-03-01,633.7000000000002,867.8999999999999,1839.0999999999997,954.7,623.4000000000001
2018-03-02,990.3,1187.8999999999999,2706.4,1124.3999999999999,845.55
2018-03-03,978.7,1367.6999999999994,2868.4,1759.8000000000002,1484.9
2018-03-04,1171.1,1613.8999999999999,3409.7000000000003,648.7999999999997,485.49999999999994
2018-03-05,1285.4999999999998,1537.7,3509.0,540.8,236.29999999999995
2018-03-06,1557.2999999999997,1786.3000000000002,4174.0,413.0999999999999,228.20000000000002
2018-03-07,1490.7,1794.9,4080.1,520.6,312.4
2018-03-08,439.6,977.0,1651.3,261.7,97.39999999999999
2018-03-09,2928.7,2200.9000000000005,6691.4,655.4,335.29999999999995
2018-03-10,702.4,1164.4,2241.2000000000003,541.0,295.7
2018-03-11,1249.4,1741.1000000000004,3656.6999999999994,737.1,371.79999999999995
2018-03-12,1698.9000000000003,1489.0,4093.8,372.29999999999995,253.89999999999995
2018-03-13,1112.2,1343.3000000000002,3048.5,403.9,252.00000000000003
2018-03-14,1092.8,1404.2999999999997,3080.15,408.6000000000001,228.10000000000002
2018-03-15,1710.5000000000002,1916.7,4539.7,449.1,236.39999999999995
2018-03-16,1244.4,1489.5000000000002,3397.6,491.20000000000005,240.1
2018-03-17,495.4,720.8,1480.2,444.8,253.69999999999996
2018-03-18,496.6,739.3,1500.8000000000002,678.2000000000002,385.7
2018-03-19,742.0,913.9,2051.3,679.6,225.70000000000002
2018-03-20,2284.8,1831.6000000000001,5335.2,747.6999999999999,185.29999999999995
2018-03-21,851.3000000000001,1356.8999999999999,2662.4999999999995,579.4,285.4
2018-03-22,368.0000000000001,947.6,1511.5,448.30000000000007,205.49999999999997
2018-03-23,620.2000000000002,1160.8999999999999,2111.8,491.25,173.0
2018-03-24,2367.1,1784.9999999999998,5414.8,978.3999999999997,625.3000000000001
2018-03-25,1746.4,1640.8,4318.6,1063.1000000000001,649.1999999999999
2018-03-26,1268.5000000000002,1582.5,3527.5999999999995,484.1,219.1
2018-03-27,748.4,1179.7000000000003,2327.1999999999994,259.90000000000003,133.7
2018-03-28,1262.3999999999996,1716.7999999999997,3652.2999999999997,286.3,155.20000000000002
2018-03-29,1660.5,1914.25,4460.250000000001,354.8999999999999,151.90000000000003
2018-03-30,1280.1000000000001,1598.2000000000003,3561.2000000000007,296.99999999999994,153.1
2018-03-31,1097.0,1166.5,2848.7,252.7,142.7
2018-04-01,1193.2000000000003,1348.6999999999996,3177.9,355.19999999999993,205.20000000000007
2018-04-02,614.0999999999999,1129.8,2070.8,278.5,146.79999999999995
2018-04-03,432.69999999999993,911.8,1575.5,301.70000000000005,122.1
2018-04-04,546.0,983.6000000000001,1820.4000000000003,307.9999999999999,106.49999999999996
2018-04-05,1071.9,1286.0,2929.2,244.2,67.30000000000001
2018-04-06,1254.1,1642.7,3566.0,482.30000000000007,243.0
2018-04-07,874.0999999999999,1441.0999999999997,2781.5,694.6999999999998,431.00000000000006
2018-04-08,1095.2,1363.0,3042.4000000000005,517.0,391.8
2018-04-09,1692.1999999999998,1600.8000000000002,4195.5,547.6999999999999,433.1000000000001
2018-04-10,1592.6000000000004,1634.3,4075.7999999999997,739.0999999999999,549.0
2018-04-11,2437.0499999999997,1709.6499999999999,5446.7,1112.6499999999999,873.8
2018-04-12,3015.4000000000005,1821.2999999999997,6444.799999999999,1021.5,711.2
2018-04-13,1201.6,1423.1000000000001,3265.0000000000005,674.9,485.3
2018-04-14,1331.5,1828.8,3871.1000000000004,1055.9500000000003,799.4
2018-04-15,635.0000000000001,1216.9999999999998,2190.5,754.6,559.3000000000002
2018-04-16,562.3000000000001,1145.9999999999998,2008.6999999999998,459.49999999999994,155.9
2018-04-17,479.20000000000005,1054.7,1789.5000000000005,384.4000000000001,144.4
2018-04-18,1035.5,1667.8000000000002,3255.3,567.8000000000002,279.29999999999995
2018-04-19,2055.3,2683.9,5835.4000000000015,1077.6,663.4999999999999
2018-04-20,1393.3000000000004,1887.9,4024.4,822.3,489.70000000000005
2018-04-21,1334.5999999999995,2001.1000000000001,4047.7,1102.2,747.5999999999997
2018-04-22,220.5,813.0,1151.3,666.8,441.49999999999994
2018-04-23,291.0,772.5,1219.1,252.9,90.39999999999999
2018-04-24,453.80000000000007,857.8,1553.6999999999998,283.40000000000003,128.1
2018-04-25,256.95,656.5500000000001,1050.6000000000001,229.4,68.10000000000001
2018-04-26,340.3,863.7000000000002,1385.1999999999998,328.05,94.6
2018-04-27,2189.2000000000003,2280.2999999999997,5637.4000000000015,476.59999999999997,244.5
