MeasurementDateGMT,Greenwich - John Harrison Way: Nitric Oxide (ug/m3),Greenwich - John Harrison Way: Nitrogen Dioxide (ug/m3),Greenwich - John Harrison Way: Oxides of Nitrogen (ug/m3),Greenwich - John Harrison Way: PM10 Particulate (ug/m3),Greenwich - John Harrison Way: PM2.5 Particulate (ug/m3)
2018-01-01,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-02,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-03,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-04,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-05,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-06,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-07,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-08,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-09,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-10,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-11,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-12,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-13,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-14,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-15,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-16,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-17,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-18,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-19,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-20,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-21,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-22,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-23,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-24,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-25,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-26,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-27,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-28,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-29,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-30,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-01-31,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-01,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-02,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-03,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-04,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-05,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-06,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-07,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-08,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-09,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-10,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-11,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-12,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-13,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-14,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-15,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-16,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-17,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-18,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-19,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-20,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-21,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-22,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-23,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-24,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-25,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-26,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-27,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-02-28,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-03-01,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-03-02,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
2018-03-03,208.79999999999993,1010.4000000000003,1327.1999999999994,441.5999999999998,223.2000000000001
