MeasurementDateGMT,Kingston Upon Thames - Kingston Vale: Nitric Oxide (ug/m3),Kingston Upon Thames - Kingston Vale: Nitrogen Dioxide (ug/m3),Kingston Upon Thames - Kingston Vale: Oxides of Nitrogen (ug/m3),Kingston Upon Thames - Kingston Vale: PM10 Particulate (ug/m3)
2018-01-01,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-02,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-03,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-04,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-05,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-06,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-07,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-08,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-09,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-10,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-11,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-12,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-13,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-14,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-15,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-16,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-17,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-18,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-19,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-20,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-21,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-22,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-23,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-24,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-25,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-26,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-27,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-28,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-29,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-30,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-01-31,686.4000000000003,1080.0,2131.1999999999994,336.0
2018-02-01,686.4000000000003,1080.0,2131.1999999999994,336.0
