MeasurementDateGMT,Camden - Holborn (Bee Midtown): Nitric Oxide (ug/m3),Camden - Holborn (Bee Midtown): Nitrogen Dioxide (ug/m3),Camden - Holborn (Bee Midtown): Oxides of Nitrogen (ug/m3)
2018-01-01,469.90000000000003,1001.8999999999999,1721.9
2018-01-02,669.9,1222.3000000000004,2249.2000000000003
2018-01-03,521.6,1075.4999999999998,1875.3999999999999
2018-01-04,848.0999999999999,1346.2000000000005,2646.5999999999995
2018-01-05,865.4,1538.0,2865.0
2018-01-06,2635.2000000000003,1990.3,6031.299999999999
2018-01-07,1456.0999999999997,1464.5,3697.4000000000005
2018-01-08,2749.75,1629.1,5845.0999999999985
2018-01-09,3280.1000000000004,1573.6000000000001,6603.3
2018-01-10,1837.9,1848.0000000000002,4665.8
2018-01-11,3017.5999999999995,1748.3999999999999,6375.599999999999
2018-01-12,3537.0499999999997,1996.8000000000004,7420.450000000001
2018-01-13,2129.7999999999997,1641.8999999999999,4908.199999999999
2018-01-14,1425.9,1406.1,3592.6000000000004
2018-01-15,558.6,1167.1999999999998,2023.8
2018-01-16,688.4000000000001,1399.5,2454.8999999999996
2018-01-17,830.2000000000002,1357.0,2629.7
2018-01-18,809.0999999999999,1353.3999999999999,2593.7
2018-01-19,700.8000000000001,1479.1999999999998,2554.2000000000003
2018-01-20,1948.6,1977.2000000000003,4965.4
2018-01-21,1744.9999999999998,1672.1,4347.3
2018-01-22,1157.4,1644.3000000000002,3419.4
2018-01-23,331.59999999999997,1064.6,1573.1999999999998
2018-01-24,370.00000000000006,1054.8,1622.6
2018-01-25,461.09999999999997,1211.0999999999995,1918.1000000000001
2018-01-26,3448.7999999999997,2337.1000000000004,7625.0999999999985
2018-01-27,624.9999999999999,1263.6,2221.9
2018-01-28,279.1000000000001,984.6999999999998,1412.8999999999999
2018-01-29,935.6,1467.1000000000004,2901.7
2018-01-30,1329.1999999999998,1699.4999999999995,3737.9
2018-01-31,618.6500000000001,1336.5,2285.5
2018-02-01,1409.3,1632.0999999999997,3793.6
2018-02-02,2006.7000000000003,1831.1000000000001,4907.9000000000015
2018-02-03,2441.8999999999996,2138.2999999999997,5882.300000000001
2018-02-04,1291.1000000000004,1392.9999999999998,3372.4999999999995
2018-02-05,3986.774999999999,2171.2999999999997,8284.625
