MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Carbon Monoxide (mg/m3), Ozone (ug/m3), Sulphur Dioxide (ug/m3)
2019-12-03,3013.11,2205.38,6825.49,709.46,479.35,9.3,57.35,249.9
2019-12-04,3894.78,2235.46,8207.5,894.06,647.03,13.8,55.9,280.8
2019-12-05,2677.72,1814.38,5920.11,757.73,883.86,15.2,113.0,296.0
2019-12-06,1288.15,1533.56,3508.64,359.86,664.4,8.1,252.8,185.6
2019-12-07,1307.91,1477.11,3482.57,460.61,634.44,8.2,261.0,131.0
2019-12-08,639.41,1051.37,2031.64,439.64,614.24,11.0,631.2,93.9
2019-12-09,1192.49,1300.96,3129.36,478.17,595.78,9.2,678.5,61.9
2019-12-10,1053.2,1407.3,3022.4,457.27,622.37,8.1,217.7,111.4
2019-12-11,1957.46,1834.26,4835.74,488.66,635.92,11.6,206.85,205.7
2019-12-12,1725.25,1791.28,4436.92,382.73,670.86,7.3,124.3,209.7
2019-12-13,1394.99,1636.86,3775.9,499.68,584.65,9.3,426.1,146.6
2019-12-14,1095.54,1555.9,3236.12,546.2,575.1,7.9,465.0,115.7
2019-12-15,776.21,1278.2,2468.27,426.35,531.74,6.0,583.4,80.1
2019-12-16,1817.41,1795.31,4581.83,404.4,554.58,8.8,272.2,138.6
2019-12-17,1849.11,1814.51,4649.91,404.14,599.63,9.2,292.9,119.5
2019-12-18,1680.36,1781.74,4358.33,471.99,559.67,7.4,187.7,111.6
2019-12-19,1112.91,1282.55,2988.99,514.75,562.51,5.8,273.5,95.0
2019-12-20,1881.36,1908.79,4793.72,334.14,506.56,9.8,258.3,153.5
2019-12-21,1003.64,1448.65,2987.82,365.72,481.7,5.5,389.1,88.0
2019-12-22,1131.05,1459.46,3193.84,424.56,496.29,9.8,414.5,78.4
2019-12-23,1394.85,1581.8,3720.78,518.36,494.74,13.1,242.9,84.8
2019-12-24,795.25,1285.44,2504.89,448.38,478.13,6.4,443.1,76.3
2019-12-25,638.16,1133.15,2111.84,352.02,478.12,10.3,550.6,67.2
2019-12-26,869.57,1277.83,2611.15,387.85,456.32,7.8,448.3,61.3
2019-12-27,1502.11,1296.95,3600.15,500.64,522.41,8.2,382.7,63.7
2019-12-28,1414.67,1396.53,3565.92,529.02,556.55,4.5,123.4,87.8
2019-12-29,1120.0,1153.63,2871.17,535.44,560.05,6.9,249.9,94.9
2019-12-30,2083.1,1448.65,4642.74,667.53,601.34,5.9,54.6,139.6
2019-12-31,1209.06,1308.48,3162.21,755.39,560.81,3.6,77.7,83.0
2020-01-01,1748.81,1533.85,4215.46,1059.71,885.7,8.0,74.25,117.05
2020-01-02,1041.71,1314.79,2912.18,348.11,241.6,6.4,300.3,92.5
2020-01-03,948.22,1389.83,2843.77,382.54,170.3,8.65,648.8,51.9
2020-01-04,1387.21,1666.71,3793.86,402.76,218.75,5.95,298.8,72.2
2020-01-05,859.07,1427.23,2744.65,259.74,151.15,7.25,478.7,63.7
2020-01-06,1143.1,1409.11,3161.94,369.19,212.0,7.35,491.0,87.3
2020-01-07,1124.07,1430.35,3153.67,449.97,197.6,8.5,324.6,90.5
2020-01-08,1451.4,1496.9,3722.46,598.19,288.35,9.0,314.8,108.9
2020-01-09,1120.46,1338.08,3055.99,297.58,170.55,8.8,426.1,121.9
2020-01-10,1139.35,1492.29,3239.36,330.97,192.15,8.6,624.5,63.3
2020-01-11,650.32,1106.04,2103.26,392.66,154.95,4.4,701.5,49.4
2020-01-12,652.54,1088.21,2088.54,247.14,108.2,8.2,697.5,54.1
2020-01-13,687.16,1103.63,2157.43,314.7,124.95,7.3,519.5,88.6
2020-01-14,694.44,1063.64,2128.34,302.03,132.35,6.6,697.0,80.7
2020-01-15,1284.14,1557.24,3526.4,333.64,148.35,11.9,510.0,105.5
2020-01-16,932.52,1296.9,2726.81,380.56,188.75,5.6,361.7,76.8
2020-01-17,1270.95,1558.16,3507.17,324.26,158.55,10.2,404.0,92.2
2020-01-18,1014.93,1608.63,3164.91,430.22,227.8,6.1,336.0,68.4
2020-01-19,1116.47,1507.46,3219.46,473.69,294.75,7.6,383.2,57.4
2020-01-20,3746.35,2242.6,7986.82,824.74,681.55,10.9,63.2,225.6
2020-01-21,4016.26,2318.96,8477.17,902.32,751.75,9.8,59.3,249.5
2020-01-22,2306.61,1733.75,5270.3,677.05,646.45,6.55,84.4,90.35
2020-01-23,1365.55,1546.72,3640.64,361.1,388.58,4.6,195.97,79.19
2020-01-24,2048.52,1624.51,4765.64,443.37,410.85,7.6,38.93,138.91
2020-01-25,1388.91,1387.04,3516.94,576.03,431.75,5.6,200.9,67.8
2020-01-26,627.62,1142.23,2104.75,526.78,334.7,6.1,264.3,66.4
2020-01-27,1123.04,1626.95,3349.22,456.72,187.74,8.7,339.75,127.45
2020-01-28,862.48,1435.94,2758.01,505.01,189.48,10.9,423.7,147.5
2020-01-29,1080.67,1557.14,3214.24,560.1,209.75,9.75,293.7,139.2
2020-01-30,1290.79,1463.03,3442.05,383.62,158.2,6.15,276.6,135.6
2020-01-31,1062.66,1323.56,2953.1,277.03,99.5,4.9,339.5,114.3
2020-02-01,571.86,1168.32,2045.22,562.55,180.95,8.7,475.5,86.7
2020-02-02,524.3,1184.93,1988.69,555.07,208.25,8.1,469.9,77.9
2020-02-03,782.65,1331.07,2530.87,589.08,210.05,9.1,520.8,98.2
2020-02-04,661.66,1263.58,2277.66,486.05,163.4,4.3,741.7,28.6
2020-02-05,2590.78,2057.16,6029.82,835.27,395.8,10.95,148.5,164.55
2020-02-06,2851.33,2150.69,6522.45,907.43,484.45,7.7,71.2,139.9
2020-02-07,1464.13,1576.66,3821.35,959.44,557.25,10.6,86.1,113.8
2020-02-08,698.28,1247.17,2318.15,610.21,221.5,9.5,453.8,68.3
2020-02-09,296.0,602.15,1055.73,395.35,108.9,6.1,1053.0,42.6
2020-02-10,782.73,1176.0,2375.99,422.07,161.8,9.6,616.3,88.1
2020-02-11,970.41,1320.16,2808.3,523.26,167.25,8.4,632.1,89.9
2020-02-12,1322.62,1616.96,3644.87,432.53,157.35,9.7,434.3,106.8
2020-02-13,1335.7,1630.73,3678.57,408.9,164.4,7.9,558.85,92.2
2020-02-14,1285.09,1635.75,3606.32,655.19,244.85,9.8,277.0,123.3
2020-02-15,463.45,772.64,1483.02,277.42,106.75,5.8,662.5,45.7
2020-02-16,444.92,933.18,1615.15,238.26,72.65,9.5,801.3,56.4
2020-02-17,903.3,1258.71,2643.97,533.26,194.1,7.3,557.6,91.8
2020-02-18,1046.08,1421.93,3025.84,412.01,185.45,7.2,470.9,105.2
2020-02-19,1328.0,1598.93,3635.13,477.86,193.4,10.25,364.6,126.35
2020-02-20,1083.27,1387.87,3048.91,334.83,128.75,8.6,644.4,79.4
2020-02-21,980.73,1370.75,2874.55,635.89,187.55,7.5,447.8,94.7
2020-02-22,601.1,1071.24,1992.9,571.29,197.45,5.3,799.7,59.4
2020-02-23,465.41,937.99,1651.6,296.01,104.05,8.2,806.0,35.4
2020-02-24,840.33,1232.78,2521.68,289.12,113.35,6.4,429.5,132.1
2020-02-25,860.22,1373.92,2692.99,346.96,128.4,10.7,404.7,133.3
2020-02-26,965.19,1440.39,2919.95,457.66,159.75,7.3,577.5,55.2
2020-02-27,919.09,1475.09,2884.56,404.22,180.8,7.0,675.9,53.2
2020-02-28,996.27,1439.9,2967.29,387.04,192.5,12.5,286.7,86.1
2020-02-29,565.92,936.23,1803.64,532.78,208.25,11.1,750.7,75.6
2020-03-01,454.17,905.36,1601.92,372.61,142.35,7.9,740.7,68.6
2020-03-02,833.82,1424.3,2702.99,357.22,139.1,8.9,719.8,56.8
2020-03-03,1488.25,1782.86,4064.28,526.46,210.45,8.8,315.8,124.8
2020-03-04,1521.93,1827.95,4161.5,496.61,249.1,12.3,188.8,141.65
2020-03-05,512.1,1078.61,1863.45,429.37,244.05,4.0,837.7,47.2
2020-03-06,1068.0,1530.08,3167.59,620.5,281.8,10.0,759.0,66.1
2020-03-07,1003.77,1489.81,3028.8,681.46,346.8,11.7,296.2,95.8
2020-03-08,433.57,868.65,1533.15,372.03,145.65,9.1,803.3,61.4
2020-03-09,824.62,1240.93,2505.18,408.15,172.1,13.8,412.7,115.5
2020-03-10,724.88,975.31,2086.73,251.01,106.05,8.3,416.5,100.8
2020-03-11,718.15,1202.34,2303.59,331.85,107.4,9.2,614.4,95.7
2020-03-12,890.14,1301.0,2665.58,499.34,160.6,12.0,591.6,115.7
2020-03-13,1005.28,1345.97,2887.11,507.75,166.9,8.1,525.6,75.1
2020-03-14,961.49,1139.01,2612.92,355.08,115.5,6.3,615.4,59.8
2020-03-15,947.13,1001.55,2452.98,292.14,108.2,5.4,878.0,38.7
2020-03-16,1086.98,1343.29,3009.46,443.27,195.45,9.5,453.0,88.5
2020-03-17,565.23,1103.48,1970.41,449.24,162.1,7.6,530.6,86.5
2020-03-18,479.57,954.01,1689.34,440.21,179.6,7.15,558.4,90.75
2020-03-19,392.15,980.51,1581.37,470.73,249.85,3.9,794.4,20.2
2020-03-20,238.83,648.21,1014.21,417.77,114.15,3.6,1274.1,17.0
2020-03-21,249.33,644.52,1026.94,429.78,164.15,6.4,1052.2,34.1
2020-03-22,211.85,610.17,935.46,478.44,229.15,3.9,1001.1,28.3
2020-03-23,530.33,1226.48,2039.44,594.76,299.05,6.2,595.7,59.9
2020-03-24,540.02,1194.27,2022.3,493.5,309.1,4.1,914.2,30.8
2020-03-25,636.52,1438.05,2414.11,716.02,496.45,6.0,696.5,49.5
2020-03-26,363.01,912.86,1469.31,879.01,653.05,4.0,1308.8,41.7
2020-03-27,123.53,613.39,802.86,883.91,664.65,3.6,1776.4,28.0
2020-03-28,65.52,317.75,418.1,565.08,328.6,4.3,1961.4,9.9
2020-03-29,62.73,215.52,311.58,379.87,119.85,5.9,1763.7,11.7
2020-03-30,113.32,403.54,577.19,285.89,107.35,5.2,1433.1,14.5
2020-03-31,180.83,604.71,882.07,345.33,166.0,5.0,1410.7,14.2
2020-04-01,296.36,957.65,1412.22,331.26,219.35,4.0,1151.2,20.4
2020-04-02,227.28,723.33,1071.54,274.53,154.1,4.7,995.3,32.6
2020-04-03,348.95,953.42,1488.54,341.0,205.45,7.6,904.9,28.0
2020-04-04,230.73,760.45,1114.27,351.44,288.7,6.8,1063.8,15.3
2020-04-05,195.03,621.06,920.24,330.15,240.05,3.7,1530.8,21.5
2020-04-06,189.81,730.19,1020.96,304.66,179.05,6.6,1178.9,23.3
2020-04-07,342.15,1182.23,1706.56,574.01,343.05,5.1,1050.1,23.2
2020-04-08,330.57,1399.48,1905.95,1170.29,867.85,3.2,1065.2,44.0
2020-04-09,404.06,1402.35,2021.84,1307.68,1073.7,3.4,1038.8,56.9
2020-04-10,236.85,1107.37,1470.28,1039.78,740.55,3.5,1180.2,36.2
2020-04-11,358.47,1241.26,1791.03,789.34,562.6,4.1,1091.6,50.5
2020-04-12,169.13,790.41,1049.76,643.35,468.3,6.2,1792.3,21.2
2020-04-13,88.88,282.37,418.8,460.54,182.35,2.4,1755.9,8.2
2020-04-14,231.57,632.49,987.3,398.12,180.95,3.9,1567.6,30.3
2020-04-15,351.46,1127.85,1666.71,681.63,427.05,5.3,1084.1,54.2
2020-04-16,393.51,1325.64,1929.19,1229.28,841.46,4.5,966.2,64.4
2020-04-17,184.14,618.02,900.64,553.25,277.59,4.6,1405.4,27.8
2020-04-18,186.21,613.17,898.63,627.29,321.22,3.1,1199.7,17.7
2020-04-19,129.13,465.86,664.0,528.98,309.25,4.1,1559.1,21.0
2020-04-20,153.5,530.25,765.46,650.64,244.49,4.4,1619.6,27.3
2020-04-21,155.72,579.8,818.49,791.3,263.0,4.2,1695.4,24.3
2020-04-22,167.9,664.61,922.09,767.69,347.0,4.6,1682.2,35.2
2020-04-23,223.6,924.49,1267.46,844.04,488.9,4.4,1534.3,43.5
2020-04-24,198.28,823.93,1127.87,756.64,507.5,4.1,1642.95,26.0
2020-04-25,163.55,578.29,829.06,458.43,300.55,3.8,1592.1,21.8
2020-04-26,170.26,722.95,983.89,444.79,307.05,4.4,1563.3,28.8
2020-04-27,274.01,842.3,1262.13,599.31,405.1,5.9,1203.9,40.5
2020-04-28,225.79,664.39,1010.61,266.34,146.35,2.7,1166.9,13.4
2020-04-29,225.13,594.13,938.87,436.79,169.6,4.9,927.1,21.0
2020-04-30,212.97,552.02,878.49,399.93,103.9,4.7,1112.25,28.4
2020-05-01,234.87,597.22,957.42,341.75,127.75,4.4,1039.7,27.2
2020-05-02,204.87,615.66,929.88,286.79,129.35,3.95,1368.7,15.7
2020-05-03,229.43,739.72,1091.07,359.66,184.65,5.0,1168.5,16.2
2020-05-04,273.24,704.13,1123.52,436.49,238.65,4.0,1523.0,16.9
2020-05-05,276.35,623.14,1047.1,496.99,151.75,5.7,1500.8,23.5
2020-05-06,300.29,895.74,1356.25,582.71,267.05,4.95,1458.6,27.4
2020-05-07,347.4,1118.87,1651.69,634.79,382.2,4.2,1247.2,46.9
2020-05-08,215.2,1061.17,1391.1,564.34,366.55,4.6,1803.2,21.7
2020-05-09,236.11,1180.99,1542.79,813.26,628.5,4.7,1770.1,29.1
2020-05-10,109.37,430.23,598.31,656.89,356.55,2.4,1887.4,17.4
2020-05-11,162.4,329.16,578.01,477.47,110.1,2.7,1407.4,7.6
2020-05-12,230.4,584.08,937.46,340.61,133.05,3.9,1379.8,20.95
2020-05-13,193.87,458.01,755.13,366.79,128.1,5.1,1507.0,18.8
2020-05-14,225.1,505.81,850.84,318.56,124.25,3.7,1257.4,24.25
2020-05-15,202.94,702.26,1013.5,412.26,178.45,4.25,1366.0,18.0
2020-05-16,170.23,640.7,901.59,355.39,163.6,3.5,1459.4,14.5
2020-05-17,226.4,649.17,996.37,374.74,188.45,4.3,1126.9,16.4
2020-05-18,215.97,644.05,975.0,434.17,168.7,5.4,1145.0,32.5
2020-05-19,261.09,767.57,1167.98,375.19,154.5,3.85,1142.2,21.2
2020-05-20,284.16,844.7,1280.18,396.98,196.6,5.0,1078.0,36.5
2020-05-21,245.02,907.57,1283.15,485.71,231.8,6.4,1348.5,27.8
2020-05-22,192.8,543.37,838.86,742.11,231.8,6.4,1274.5,30.8
2020-05-23,154.56,391.95,628.69,656.43,235.75,5.95,1187.4,20.1
2020-05-24,147.08,474.07,699.64,485.15,177.95,3.25,1256.1,13.9
2020-05-25,223.17,746.85,1089.16,507.83,247.15,3.7,1280.8,25.8
2020-05-26,234.27,821.16,1180.13,480.1,212.7,5.05,1298.9,18.7
2020-05-27,323.65,998.22,1494.37,487.12,209.7,3.15,1245.8,23.1
2020-05-28,301.41,640.67,1102.53,373.31,175.2,7.3,1137.6,34.0
2020-05-29,319.15,737.94,1227.06,389.47,173.9,6.55,1130.8,40.8
2020-05-30,198.95,598.03,902.93,402.63,217.55,6.0,1644.3,30.9
2020-05-31,139.23,456.72,670.29,356.96,189.95,5.1,1748.0,18.0
2020-06-01,226.74,672.74,1020.38,384.61,194.6,4.3,1491.8,22.6
2020-06-02,140.53,610.48,825.87,361.86,192.2,4.5,1586.7,26.2
2020-06-03,193.1,771.14,1067.23,420.53,287.4,4.25,1069.1,21.25
2020-06-04,158.75,480.21,723.37,319.26,120.6,5.7,1159.8,25.9
2020-06-05,224.56,568.94,913.28,319.4,111.15,7.9,918.8,21.3
2020-06-06,285.32,585.1,1022.39,312.21,139.25,5.85,695.3,33.6
2020-06-07,172.59,467.99,732.55,295.12,144.75,4.25,758.2,22.1
2020-06-08,189.14,459.16,749.11,341.51,156.9,3.5,1122.3,6.4
2020-06-09,302.19,807.35,1270.53,372.46,180.0,6.7,1117.5,22.2
2020-06-10,454.63,863.36,1560.31,377.54,251.05,4.6,781.2,52.9
2020-06-11,194.56,615.5,913.93,426.32,294.0,3.35,1142.5,11.7
2020-06-12,248.4,820.54,1201.44,586.9,463.0,4.6,940.3,26.3
2020-06-13,197.74,733.9,1036.96,381.59,206.0,4.35,924.6,19.7
2020-06-14,134.25,565.99,772.03,378.69,272.1,4.8,1001.7,17.2
2020-06-15,542.66,1036.12,1868.17,365.96,189.15,4.8,747.65,36.1
2020-06-16,458.85,947.16,1650.57,372.06,187.9,5.4,862.1,40.9
2020-06-17,687.42,1249.07,2303.33,384.87,219.1,7.2,679.2,32.5
2020-06-18,431.83,907.31,1569.48,329.29,168.9,6.7,799.7,40.4
2020-06-19,362.81,675.97,1231.85,354.26,167.25,6.25,779.1,37.0
2020-06-20,204.85,488.0,802.06,340.67,141.25,4.95,780.2,25.8
2020-06-21,155.38,407.67,645.85,354.84,150.95,6.1,805.9,17.2
2020-06-22,288.11,608.72,1050.41,437.0,208.55,5.6,703.8,42.7
2020-06-23,296.4,926.72,1381.26,440.37,255.3,5.2,840.1,37.1
2020-06-24,316.85,1280.4,1766.13,574.64,380.95,5.0,1636.0,44.6
2020-06-25,218.84,1255.46,1591.2,562.44,379.3,6.1,1919.1,47.1
2020-06-26,204.15,936.92,1250.06,454.47,361.4,5.9,1308.1,29.3
2020-06-27,123.11,309.08,498.04,374.91,146.4,2.55,861.4,29.9
2020-06-28,130.32,308.91,508.71,366.9,123.1,3.9,938.1,29.4
2020-06-29,242.13,472.22,843.28,409.34,135.45,2.42,674.7,46.8
2020-06-30,340.23,565.14,1087.13,338.84,113.2,2.45,452.8,48.2
2020-07-01,344.92,555.86,1084.68,349.23,124.82,2.49,355.9,45.6
2020-07-02,345.03,686.95,1215.96,356.2,148.1,2.53,385.0,42.25
2020-07-03,252.05,508.24,894.96,401.39,172.3,2.57,508.4,40.7
2020-07-04,256.34,358.25,751.21,334.18,131.6,2.6,424.0,37.6
2020-07-05,140.56,278.13,493.7,390.81,146.65,2.64,625.2,13.7
2020-07-06,267.63,559.52,969.64,409.42,170.7,2.68,774.9,29.25
2020-07-07,418.59,852.21,1493.69,397.3,181.8,2.71,391.4,55.75
2020-07-08,515.15,581.93,1371.24,283.99,137.1,2.75,148.1,50.55
2020-07-09,498.68,500.87,1265.14,290.46,154.15,2.79,133.2,46.05
2020-07-10,213.16,540.34,867.4,332.91,100.9,2.83,815.2,11.7
2020-07-11,238.65,580.24,946.08,334.38,142.65,2.86,830.5,14.15
2020-07-12,219.22,720.92,1056.88,377.21,231.05,2.9,1006.7,17.75
2020-07-13,322.04,757.77,1251.5,367.04,154.55,2.94,750.3,32.25
2020-07-14,207.45,518.28,836.5,335.04,153.85,2.97,753.5,7.65
2020-07-15,351.14,632.44,1170.86,317.01,136.1,3.01,489.2,25.25
2020-07-16,249.14,516.84,898.71,298.24,125.85,3.05,597.2,9.95
2020-07-17,373.87,759.9,1333.2,450.77,212.9,3.09,396.1,37.1
2020-07-18,281.41,526.18,957.64,348.53,142.9,3.12,514.2,19.9
2020-07-19,156.8,396.86,636.93,274.14,125.55,3.16,758.4,11.45
2020-07-20,178.37,467.95,741.37,360.88,107.51,3.2,1062.15,11.4
2020-07-21,196.32,585.65,886.65,364.66,138.93,3.23,1126.8,11.65
2020-07-22,316.9,847.24,1333.44,450.68,215.38,3.27,1123.8,39.85
2020-07-23,349.23,839.07,1374.36,423.56,213.98,3.31,943.9,43.35
2020-07-24,388.87,647.01,1243.16,297.62,156.5,3.35,522.3,37.9
2020-07-25,320.91,512.89,1004.76,234.59,148.8,3.38,467.0,25.65
2020-07-26,257.61,422.07,817.25,309.42,142.35,3.42,447.7,17.0
2020-07-27,374.99,517.41,1092.31,328.78,161.9,3.46,453.05,34.6
2020-07-28,354.02,591.6,1134.51,347.22,129.45,3.49,641.0,18.75
2020-07-29,435.57,845.51,1513.32,347.58,171.85,3.53,610.4,36.15
2020-07-30,486.98,1088.56,1835.4,421.8,190.66,3.57,756.1,33.05
2020-07-31,309.98,1265.04,1740.16,857.34,376.95,3.61,1177.6,27.25
2020-08-01,302.32,554.89,1018.59,637.16,174.15,3.64,610.3,24.1
2020-08-02,207.26,460.68,778.75,564.26,143.7,3.68,757.8,17.45
2020-08-03,221.23,538.48,877.84,579.0,136.35,3.72,1031.9,7.7
2020-08-04,448.02,838.43,1525.42,575.4,191.05,3.75,706.5,44.8
2020-08-05,352.42,636.18,1176.26,512.28,140.55,3.79,878.9,28.25
2020-08-06,571.25,965.31,1841.26,426.91,162.8,3.83,490.3,45.55
2020-08-07,843.7,2051.84,3345.48,876.93,379.05,3.87,659.9,43.8
2020-08-08,321.37,1118.27,1611.21,892.54,435.35,3.9,1409.5,28.35
2020-08-09,101.05,595.1,750.18,766.97,461.8,3.94,2170.9,18.1
2020-08-10,232.47,1137.56,1494.08,932.37,490.95,3.98,1848.0,19.3
2020-08-11,241.94,1624.65,1995.55,1108.76,758.35,4.01,2081.3,21.8
2020-08-12,230.29,1660.57,2013.64,1303.24,937.4,4.05,1840.3,17.5
2020-08-13,133.55,666.76,871.66,775.29,582.6,4.09,1859.0,10.9
2020-08-14,181.34,572.6,850.66,495.6,297.5,4.12,944.4,10.65
2020-08-15,267.21,686.08,1095.72,577.86,381.5,4.16,573.2,12.2
2020-08-16,225.61,851.42,1197.44,663.71,536.1,4.2,644.1,20.6
2020-08-17,426.66,1069.75,1723.96,408.26,220.15,4.24,451.5,34.75
2020-08-18,418.99,738.27,1380.76,333.24,159.05,4.27,488.1,24.35
2020-08-19,684.1,862.39,1911.29,316.07,174.3,4.31,239.0,30.9
2020-08-20,428.97,846.04,1503.77,634.92,236.2,4.35,476.9,31.95
2020-08-21,241.62,522.46,892.96,575.92,204.15,4.38,802.5,17.85
2020-08-22,232.79,520.88,877.82,424.23,163.7,4.42,833.42,11.75
2020-08-23,193.44,466.78,763.39,381.86,177.95,4.46,795.68,20.7
2020-08-24,427.79,782.08,1438.26,352.3,181.38,4.5,757.94,38.8
2020-08-25,283.95,504.4,939.91,357.1,167.12,4.53,720.21,35.35
2020-08-26,404.83,755.98,1376.56,420.9,198.69,4.57,682.47,20.3
2020-08-27,643.68,960.22,1947.13,481.99,219.96,4.61,644.73,39.35
2020-08-28,419.68,683.41,1326.69,331.03,185.94,4.64,606.99,31.9
2020-08-29,153.76,392.73,628.56,369.19,167.62,4.68,569.26,9.4
2020-08-30,104.61,366.52,527.03,446.63,175.85,4.72,531.52,10.55
2020-08-31,305.67,792.49,1261.22,402.47,182.57,4.76,493.78,19.25
2020-09-01,818.48,1399.86,2654.94,556.0,262.35,4.69,456.04,48.9
2020-09-02,528.03,1189.67,1999.35,489.06,242.38,6.35,418.3,40.15
2020-09-03,553.23,811.31,1659.32,387.15,200.75,3.0,380.57,27.85
2020-09-04,624.27,995.01,1952.28,494.34,200.33,4.7,342.83,41.75
2020-09-05,505.57,887.74,1663.2,503.34,204.81,4.3,305.09,41.4
2020-09-06,399.74,828.59,1441.58,415.05,206.14,4.7,267.35,27.6
2020-09-07,696.8,931.18,1999.45,407.92,217.01,5.2,307.82,69.15
2020-09-08,667.37,788.21,1811.27,313.65,181.74,2.6,301.5,52.85
2020-09-09,516.03,784.15,1575.71,415.13,176.72,2.8,416.3,39.8
2020-09-10,413.82,949.22,1583.96,471.3,175.79,4.7,778.2,20.15
2020-09-11,800.75,1243.2,2470.95,473.28,226.17,5.6,334.2,47.35
2020-09-12,429.58,818.91,1477.65,407.06,182.9,5.0,574.7,25.6
2020-09-13,294.35,737.9,1189.36,366.35,180.03,4.0,582.5,17.5
2020-09-14,852.12,1697.3,3003.68,638.65,262.1,5.8,459.4,52.0
2020-09-15,547.98,1817.38,2657.93,964.04,454.33,4.3,774.7,40.5
2020-09-16,224.72,822.9,1167.16,673.39,311.01,2.4,1542.0,16.3
2020-09-17,396.11,759.22,1366.65,528.65,147.83,3.4,1038.3,22.55
2020-09-18,339.71,817.69,1338.65,557.53,158.86,3.3,984.4,20.4
2020-09-19,235.74,656.18,1017.71,605.63,165.14,2.8,1350.2,16.75
2020-09-20,176.58,614.28,885.09,604.72,180.77,2.5,1441.3,17.1
2020-09-21,749.95,1467.62,2617.67,672.51,260.54,7.3,772.7,46.25
2020-09-22,528.65,1368.02,2178.4,679.13,294.27,8.4,657.2,46.45
2020-09-23,454.83,905.32,1602.98,339.69,177.25,4.2,695.5,50.85
2020-09-24,595.33,979.14,1891.86,322.79,127.67,6.2,458.2,63.55
2020-09-25,245.95,582.21,959.71,390.33,131.45,4.4,850.4,18.3
2020-09-26,201.89,437.99,747.59,367.65,110.83,4.7,1046.7,15.05
2020-09-27,105.45,372.77,534.48,350.08,116.91,4.7,1190.5,18.55
2020-09-28,576.23,965.87,1849.26,449.28,191.89,11.2,533.7,36.6
2020-09-29,763.24,1069.86,2240.06,514.1,254.9,8.2,299.3,31.6
2020-09-30,605.25,961.54,1889.46,499.78,182.0,6.25,406.55,55.5
2020-10-01,763.56,1107.94,2278.6,476.23,145.0,13.7,445.7,51.2
2020-10-02,548.67,983.34,1824.66,461.95,140.95,5.0,473.6,42.3
2020-10-03,539.09,999.61,1826.1,454.68,178.4,5.4,529.8,55.6
2020-10-04,326.27,692.75,1193.1,397.71,88.7,6.8,656.8,50.2
2020-10-05,834.64,1042.5,2322.49,465.32,194.7,7.6,287.65,61.0
2020-10-06,699.5,988.8,2061.3,443.62,181.86,10.2,342.3,55.6
2020-10-07,677.69,1039.96,2078.96,466.14,182.43,13.6,333.4,50.8
2020-10-08,549.76,853.82,1697.12,424.42,128.85,6.7,463.5,37.7
2020-10-09,1018.55,1358.14,2919.87,458.65,221.2,10.7,104.8,81.0
2020-10-10,617.47,1071.76,2018.59,424.89,144.95,15.3,320.7,32.8
2020-10-11,289.73,708.77,1152.93,402.96,140.55,12.9,608.4,11.3
2020-10-12,1021.18,1277.24,2842.9,425.4,227.75,12.0,146.2,75.2
2020-10-13,451.87,863.65,1556.21,430.4,165.7,10.3,413.6,38.8
2020-10-14,320.42,797.72,1288.87,451.35,178.9,4.15,686.55,19.35
2020-10-15,359.7,792.18,1343.7,588.82,125.5,3.8,763.0,18.0
2020-10-16,431.83,959.71,1621.82,442.64,140.61,5.2,601.5,19.9
2020-10-17,311.79,818.43,1296.58,420.21,147.92,4.9,803.6,18.5
2020-10-18,562.67,1114.05,1976.71,445.04,231.73,9.6,236.8,38.0
2020-10-19,569.44,1070.34,1943.29,511.02,198.03,6.5,120.89,71.82
2020-10-20,509.24,871.27,1652.26,493.3,185.34,6.9,221.61,83.68
2020-10-21,837.04,1127.38,2410.74,378.07,130.15,8.3,303.7,79.0
2020-10-22,685.53,1105.43,2156.44,418.52,142.46,9.2,412.4,72.0
2020-10-23,627.95,1105.33,2067.92,407.76,132.77,8.1,313.3,70.5
2020-10-24,289.73,628.89,1072.91,370.6,112.08,5.4,591.1,41.0
2020-10-25,292.62,726.88,1175.7,341.94,104.89,5.8,523.8,49.0
2020-10-26,654.27,1018.2,2021.2,389.01,129.2,6.5,302.05,78.0
2020-10-27,636.34,1031.81,2007.78,379.16,124.01,5.5,278.06,69.0
2020-10-28,580.6,948.78,1839.16,386.29,125.31,5.75,315.99,71.7
2020-10-29,533.07,910.68,1728.19,366.94,135.12,7.0,423.8,66.6
2020-10-30,448.27,857.67,1544.74,343.98,127.93,5.6,634.2,59.8
2020-10-31,358.06,754.32,1303.33,467.07,154.74,6.1,604.1,41.0
2020-11-01,331.59,641.51,1149.72,445.31,127.55,6.7,729.4,36.0
2020-11-02,446.53,805.4,1490.15,407.05,130.36,9.6,677.2,38.7
2020-11-03,776.11,1208.33,2398.21,441.61,159.17,6.8,485.6,62.4
2020-11-04,1556.44,1538.5,3925.03,689.49,250.98,8.4,208.7,87.7
2020-11-05,2681.33,1672.09,5783.59,1187.81,592.28,11.4,65.9,118.4
2020-11-06,1461.56,1546.88,3787.95,1231.34,551.09,10.0,92.75,101.5
