MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Sulphur Dioxide (ug/m3)
2019-12-13,511.51,884.9,1668.9,672.95,285.47,131.68,46.4
2019-12-14,384.71,865.71,1455.8,1116.8,340.17,149.85,25.8
2019-12-15,260.1,616.81,1015.87,1401.2,269.54,109.82,22.2
2019-12-16,1304.89,1437.55,3438.5,693.7,351.94,175.38,24.7
2019-12-17,1415.23,1555.53,3725.65,453.4,344.12,267.0,19.9
2019-12-18,1133.18,1414.36,3151.7,654.7,391.34,218.02,14.4
2019-12-19,744.81,938.24,2080.45,876.8,411.78,215.05,22.2
2019-12-20,891.51,1276.01,2643.14,701.9,240.69,169.92,22.5
2019-12-21,557.95,973.92,1829.4,1169.2,251.14,113.08,21.3
2019-12-22,292.71,806.24,1255.14,875.6,253.48,129.42,27.4
2019-12-23,470.34,952.21,1672.99,706.0,349.28,166.4,23.7
2019-12-24,247.12,734.94,1113.85,1044.6,316.99,155.73,25.2
2019-12-25,796.69,959.29,2180.96,625.3,356.8,217.8,35.5
2019-12-26,404.1,856.65,1476.27,774.3,321.5,188.62,27.2
2019-12-27,1171.69,1096.42,2892.8,371.0,453.61,356.12,33.9
2019-12-28,597.28,955.56,1871.14,520.2,466.09,372.55,22.5
2019-12-29,447.24,724.7,1410.43,616.1,483.02,390.28,23.5
2019-12-30,732.22,924.81,2047.54,141.8,574.35,476.6,34.0
2019-12-31,1145.34,1121.58,2877.85,106.8,654.69,494.95,33.4
2020-01-01,1076.24,1164.55,2814.77,195.65,918.17,831.21,33.2
2020-01-02,696.31,984.78,2052.71,887.8,297.3,198.12,23.2
2020-01-03,647.04,1031.84,2024.16,831.3,271.61,136.88,47.5
2020-01-04,633.64,1088.45,2060.64,579.1,298.38,164.02,42.2
2020-01-05,445.15,889.3,1572.34,1144.2,205.98,118.48,32.7
2020-01-06,443.42,917.41,1597.59,1160.5,319.38,166.03,20.7
2020-01-07,415.6,882.13,1519.44,870.9,435.85,183.5,21.7
2020-01-08,560.53,957.44,1817.02,779.0,519.28,240.32,29.85
2020-01-09,397.0,757.78,1366.66,1134.9,256.0,120.32,26.6
2020-01-10,665.65,1128.2,2148.89,754.6,265.21,173.38,29.2
2020-01-11,223.52,574.34,917.05,1417.0,342.81,139.35,11.7
2020-01-12,195.65,555.65,855.61,1315.4,195.51,81.53,24.3
2020-01-13,376.6,729.09,1306.71,1291.75,275.48,103.82,22.8
2020-01-14,302.79,616.65,1080.71,1405.3,265.93,99.84,15.8
2020-01-15,507.06,914.1,1691.48,1082.4,277.2,108.76,23.5
2020-01-16,651.24,964.48,1962.55,1019.3,360.37,136.82,19.8
2020-01-17,458.57,938.88,1641.91,1064.6,240.62,107.11,25.9
2020-01-18,915.51,1376.59,2780.19,478.3,405.42,220.3,36.0
2020-01-19,1263.7,1467.43,3405.24,432.3,519.31,271.3,20.6
2020-01-20,2475.63,1798.09,5593.99,68.9,962.0,671.5,72.9
2020-01-21,3034.79,1877.01,6530.34,69.0,1023.9,751.78,91.7
2020-01-22,2581.22,1623.75,5581.32,89.3,746.06,606.21,37.78
2020-01-23,2088.89,1616.51,4819.46,186.6,598.47,441.53,50.52
2020-01-24,1354.25,1342.48,3419.14,243.3,553.56,424.08,26.4
2020-01-25,861.8,1069.36,2390.37,622.9,714.02,497.48,11.3
2020-01-26,465.04,877.67,1590.45,875.5,548.33,344.95,17.6
2020-01-27,707.48,1156.34,2240.92,1092.8,284.93,127.37,19.7
2020-01-28,530.69,1026.78,1839.97,1081.8,281.16,111.14,34.5
2020-01-29,626.4,1121.2,2081.41,1038.0,395.09,172.36,27.6
2020-01-30,737.81,1054.05,2184.93,890.1,270.9,136.38,32.6
2020-01-31,654.31,957.47,1960.52,1058.4,184.9,101.4,44.4
2020-02-01,464.04,842.8,1554.02,1251.9,340.75,154.2,53.6
2020-02-02,501.19,896.91,1665.06,1209.2,382.76,187.85,49.7
2020-02-03,549.45,960.04,1802.11,977.8,383.54,165.4,52.4
2020-02-04,679.53,1062.29,2104.1,649.5,311.61,139.05,61.2
2020-02-05,1700.06,1554.46,4160.76,313.0,709.91,400.15,56.8
2020-02-06,2062.96,1706.21,4868.61,267.2,781.14,492.0,77.9
2020-02-07,1591.47,1431.21,3871.35,363.7,842.82,592.65,124.5
2020-02-08,376.34,830.07,1407.02,1221.6,456.1,208.22,67.2
2020-02-09,106.45,373.96,537.2,1612.2,255.43,136.82,63.2
2020-02-10,305.74,699.8,1168.71,1215.1,274.36,132.05,48.9
2020-02-11,349.74,747.74,1283.99,1196.5,310.41,126.72,80.3
2020-02-12,606.44,1037.93,1967.77,1086.1,282.08,133.12,81.7
2020-02-13,705.55,1143.0,2224.64,1007.2,263.97,142.19,167.64
2020-02-14,987.73,1267.92,2782.21,802.4,500.58,228.96,171.55
2020-02-15,242.7,537.88,909.89,1234.0,186.54,89.12,175.46
2020-02-16,229.92,585.16,937.88,1550.1,129.81,54.31,179.37
2020-02-17,383.66,776.06,1364.03,1308.7,342.43,135.77,183.28
2020-02-18,468.61,950.84,1669.29,1274.9,267.21,150.51,187.19
2020-02-19,725.49,1174.18,2286.84,851.5,349.47,200.94,156.26
2020-02-20,426.35,901.72,1555.34,1188.4,194.29,93.55,92.1
2020-02-21,351.78,834.68,1374.01,1391.9,413.2,159.0,91.3
2020-02-22,222.25,582.52,923.15,1435.6,400.06,172.42,78.5
2020-02-23,317.18,744.8,1230.73,1064.3,204.18,88.38,105.2
2020-02-24,433.08,818.17,1481.99,1086.2,170.04,76.72,91.8
2020-02-25,413.89,863.7,1497.88,1081.2,218.51,89.12,72.1
2020-02-26,452.26,941.58,1634.57,661.4,231.89,110.45,109.7
2020-02-27,776.03,1180.29,2370.45,787.6,260.7,133.68,83.1
2020-02-28,673.3,1100.15,2132.58,936.5,301.91,156.6,63.8
2020-02-29,302.74,700.28,1163.89,1383.1,385.07,179.32,44.1
2020-03-01,285.49,698.09,1135.63,1563.9,262.8,116.37,40.9
2020-03-02,698.42,1120.23,2191.19,928.4,229.6,124.45,54.9
2020-03-03,606.35,1092.68,2022.25,791.1,339.86,162.77,69.7
2020-03-04,1149.5,1463.71,3226.09,663.6,450.78,225.42,35.6
2020-03-05,838.27,1109.6,2394.47,787.7,353.75,240.58,41.8
2020-03-06,1044.99,1400.36,3002.27,744.7,463.69,268.23,60.9
2020-03-07,642.85,1100.81,2086.19,973.9,575.94,338.78,45.5
2020-03-08,278.23,697.02,1123.55,1626.7,261.64,132.58,50.9
2020-03-09,385.53,863.24,1454.16,1129.8,300.55,123.98,54.9
2020-03-10,339.64,676.04,1196.89,984.05,108.5,55.85,72.3
2020-03-11,407.15,838.27,1462.42,1393.5,212.88,90.45,66.7
2020-03-12,357.38,708.63,1256.23,1248.2,309.24,123.35,72.9
2020-03-13,442.15,875.27,1553.16,1002.8,360.94,164.0,80.0
2020-03-14,442.26,890.55,1568.45,1453.4,253.88,126.0,54.2
2020-03-15,265.32,748.9,1155.4,1424.8,218.44,115.45,48.0
2020-03-16,533.62,1047.24,1865.62,820.3,331.42,190.37,50.1
2020-03-17,338.31,832.71,1351.01,1405.1,360.68,158.73,23.6
2020-03-18,349.37,804.85,1340.38,1364.4,368.06,168.5,30.7
2020-03-19,532.48,876.04,1692.32,831.7,387.56,243.87,39.6
2020-03-20,289.3,646.79,1089.74,1348.2,292.9,127.2,51.2
2020-03-21,252.48,595.52,982.28,1254.5,335.16,159.52,31.2
2020-03-22,160.67,557.47,803.57,1133.6,389.72,228.05,30.2
2020-03-23,582.39,1126.34,2019.14,781.4,515.36,306.8,46.5
2020-03-24,373.7,975.78,1548.78,1372.1,439.85,307.8,31.8
2020-03-25,527.99,1226.66,2036.12,838.6,704.34,531.4,50.5
2020-03-26,227.47,762.46,1110.78,1320.3,823.88,654.3,47.1
2020-03-27,192.49,614.15,909.21,1674.5,855.32,651.9,41.9
2020-03-28,121.89,426.43,613.04,1924.3,516.66,319.67,29.2
2020-03-29,113.1,360.77,534.04,1724.8,345.76,122.1,23.2
2020-03-30,265.38,600.34,1006.98,1366.5,269.49,110.55,25.6
2020-03-31,244.37,639.14,1013.43,1397.4,361.8,166.9,28.6
2020-04-01,354.81,846.57,1390.47,1276.1,331.65,207.5,32.3
2020-04-02,251.21,667.45,1052.53,797.5,242.85,136.6,70.4
2020-04-03,313.26,779.57,1259.68,1109.3,318.53,175.15,47.9
2020-04-04,220.47,754.65,1092.42,1387.8,386.1,277.2,29.4
2020-04-05,126.2,529.79,723.1,1845.7,365.52,251.62,22.3
2020-04-06,177.47,650.96,922.57,1312.7,290.22,159.02,29.3
2020-04-07,348.23,957.54,1491.53,1178.5,528.1,318.62,23.8
2020-04-08,318.76,1076.99,1565.37,1212.8,1108.44,833.03,42.7
2020-04-09,317.47,1002.49,1488.94,1084.0,1231.07,1026.8,50.6
2020-04-10,197.79,840.28,1143.02,1209.1,942.41,705.4,45.9
2020-04-11,241.45,910.08,1279.81,1129.0,751.27,567.3,51.4
2020-04-12,115.94,611.01,788.41,1964.0,611.27,478.85,36.8
2020-04-13,95.3,338.26,484.04,1770.1,364.16,181.2,11.6
2020-04-14,238.98,625.57,991.68,1805.7,353.28,166.23,11.3
2020-04-15,310.2,956.66,1432.14,1453.1,647.81,422.82,31.0
2020-04-16,329.66,998.98,1504.11,1106.25,1147.9,865.22,51.8
2020-04-17,192.0,554.27,848.1,1540.1,457.8,235.28,31.6
2020-04-18,203.93,586.14,898.61,1241.8,541.76,316.98,19.7
2020-04-19,116.93,459.44,638.07,1523.5,451.6,256.28,27.0
2020-04-20,165.72,505.93,759.75,1630.3,496.22,228.28,33.8
2020-04-21,154.35,528.92,765.5,1705.1,616.16,250.3,40.5
2020-04-22,231.92,679.85,1035.6,1645.1,644.84,344.52,45.3
2020-04-23,304.95,939.76,1407.29,1593.7,759.61,484.1,47.0
2020-04-24,301.95,887.66,1350.62,1743.3,711.24,492.1,30.4
2020-04-25,196.68,609.28,910.74,1726.0,431.21,290.48,15.6
2020-04-26,147.19,642.46,868.0,1890.2,418.49,300.65,15.8
2020-04-27,251.67,759.24,1145.29,1504.9,579.24,417.88,32.0
2020-04-28,263.44,631.6,1035.56,1251.7,220.59,153.45,20.6
2020-04-29,229.95,555.85,908.54,1441.8,285.79,168.5,18.5
2020-04-30,181.86,480.24,759.18,1488.0,249.46,117.32,26.25
2020-05-01,198.51,515.14,819.26,1177.1,240.81,112.1,37.6
2020-05-02,167.94,520.96,778.08,1261.1,192.34,123.57,35.8
2020-05-03,200.1,676.6,983.46,1497.0,313.69,200.62,30.4
2020-05-04,275.67,687.14,1109.75,1713.2,387.05,253.85,29.1
2020-05-05,234.79,520.48,880.51,1660.8,326.09,153.62,26.4
2020-05-06,338.05,820.41,1338.9,1693.8,461.86,275.35,25.0
2020-05-07,390.99,949.32,1548.71,1791.3,555.69,393.72,32.5
2020-05-08,174.91,954.55,1222.9,2440.9,499.8,405.72,31.5
2020-05-09,170.41,994.94,1256.2,1924.6,772.48,684.82,52.4
2020-05-10,96.31,360.18,507.8,1837.4,502.65,364.02,29.3
2020-05-11,222.79,377.5,718.95,1379.8,271.54,126.82,20.4
2020-05-12,386.36,734.99,1327.32,1411.4,255.03,171.3,19.9
2020-05-13,295.89,552.68,1006.48,1504.8,267.48,139.98,22.8
2020-05-14,335.36,582.88,1097.16,1283.6,232.3,144.4,18.3
2020-05-15,433.21,872.21,1536.38,1437.3,328.08,219.08,18.3
2020-05-16,201.32,672.06,980.94,1331.4,239.75,189.18,25.4
2020-05-17,133.61,546.1,750.71,1174.8,286.88,215.45,30.6
2020-05-18,162.46,513.74,762.85,1303.0,290.79,175.9,26.2
2020-05-19,202.36,615.66,925.75,1064.6,273.17,169.1,24.5
2020-05-20,316.2,846.32,1331.22,1456.4,328.91,213.68,22.7
2020-05-21,253.69,859.89,1248.61,1870.8,362.19,254.12,30.4
2020-05-22,134.88,410.95,617.81,1842.0,433.71,251.2,20.7
2020-05-23,88.35,242.73,377.93,1376.1,380.42,190.9,17.9
2020-05-24,150.2,452.35,682.32,1226.6,340.03,224.68,17.2
2020-05-25,162.94,599.38,849.15,1518.2,363.23,246.3,13.2
2020-05-26,389.71,899.29,1497.0,1516.5,364.89,234.4,14.5
2020-05-27,459.54,993.93,1698.78,1433.4,384.85,262.36,22.1
2020-05-28,359.91,637.96,1189.58,1309.7,317.04,188.49,16.45
2020-05-29,399.67,784.8,1397.42,1333.7,362.0,173.08,22.1
2020-05-30,210.99,576.67,900.4,1734.6,394.86,243.42,23.6
2020-05-31,131.24,416.92,618.45,1785.6,338.46,206.05,22.9
2020-06-01,324.7,713.39,1211.49,1582.25,350.75,198.73,18.8
2020-06-02,444.51,925.49,1607.36,1666.0,355.39,205.6,17.0
2020-06-03,465.89,1040.06,1754.34,1315.3,457.3,295.82,23.7
2020-06-04,402.0,636.31,1252.58,1141.9,230.39,129.35,26.2
2020-06-05,262.05,543.29,944.61,733.8,184.7,94.35,44.7
2020-06-06,197.49,452.84,755.66,811.8,213.7,118.92,34.1
2020-06-07,278.77,537.9,965.64,695.4,205.39,142.5,39.2
2020-06-08,518.7,693.44,1488.85,1146.8,302.7,174.4,14.5
2020-06-09,538.61,889.55,1715.45,1454.1,352.6,206.33,16.0
2020-06-10,453.34,797.58,1492.44,1335.3,400.81,260.33,16.7
2020-06-11,344.44,650.61,1178.99,1243.0,400.04,292.95,22.6
2020-06-12,380.6,831.9,1415.32,1102.2,564.39,464.15,25.6
2020-06-13,269.6,738.31,1151.84,1154.4,354.97,204.08,22.2
2020-06-14,182.72,612.68,892.79,1429.0,372.65,263.48,21.6
2020-06-15,346.49,789.72,1321.05,1325.0,300.63,189.03,23.0
2020-06-16,368.67,773.62,1338.76,1563.8,281.21,173.38,20.6
2020-06-17,557.55,995.26,1849.98,1142.2,355.93,223.68,21.6
2020-06-18,289.34,705.81,1149.07,1420.0,227.49,147.15,17.6
2020-06-19,278.59,563.33,990.5,1420.1,260.49,161.3,14.8
2020-06-20,252.61,518.86,906.08,1266.3,250.76,132.85,26.9
2020-06-21,153.87,405.17,640.91,986.0,236.89,131.57,24.8
2020-06-22,295.66,575.82,1028.93,1237.0,357.42,180.62,16.9
2020-06-23,451.14,944.1,1635.84,1486.1,414.18,244.9,21.3
2020-06-24,452.33,1299.09,1992.39,2044.4,543.1,362.15,47.5
2020-06-25,377.94,1209.46,1788.9,2401.3,550.69,378.82,48.1
2020-06-26,325.76,939.02,1438.32,2188.0,490.14,368.4,17.7
2020-06-27,232.86,460.48,817.55,1264.9,262.12,131.4,18.8
2020-06-28,190.56,364.74,656.72,1351.3,224.26,108.43,17.1
2020-06-29,227.41,392.01,740.31,1221.1,280.36,118.78,19.8
2020-06-30,381.68,518.91,1104.04,934.4,247.99,117.75,19.1
2020-07-01,298.3,460.06,917.56,885.0,207.91,118.8,16.5
2020-07-02,449.58,670.21,1359.69,807.4,267.49,149.68,20.4
2020-07-03,411.64,562.89,1193.78,1044.9,317.95,152.9,33.08
2020-07-04,378.1,419.34,998.92,766.05,268.8,129.05,33.52
2020-07-05,321.34,311.98,804.29,943.7,298.4,129.8,33.47
2020-07-06,481.34,620.04,1357.5,905.5,308.55,155.3,33.42
2020-07-07,511.34,817.72,1601.11,977.8,317.2,171.0,33.37
2020-07-08,535.18,583.13,1403.51,415.1,277.26,140.9,33.31
2020-07-09,551.34,543.18,1388.36,382.9,277.4,146.7,33.26
2020-07-10,622.81,781.01,1735.57,845.3,280.76,136.4,33.21
2020-07-11,624.49,804.25,1761.25,842.4,291.84,169.72,33.16
2020-07-12,457.63,796.58,1497.62,1291.7,342.65,196.25,33.1
2020-07-13,467.29,731.71,1447.99,1170.5,279.59,148.45,33.05
2020-07-14,782.46,837.85,2037.24,858.3,255.39,137.13,33.0
2020-07-15,523.3,686.39,1488.35,630.8,265.58,151.64,32.95
2020-07-16,728.26,778.06,1894.32,593.9,301.34,174.33,32.89
2020-07-17,554.45,745.94,1595.59,676.0,349.51,200.68,32.84
2020-07-18,428.61,563.68,1220.42,722.6,302.38,177.18,32.79
2020-07-19,530.84,653.3,1467.14,814.9,285.02,166.09,32.74
2020-07-20,753.71,898.59,2054.13,1059.7,325.91,179.74,32.68
2020-07-21,790.13,1025.79,2236.78,1107.95,328.64,190.89,32.63
2020-07-22,439.66,817.32,1491.19,1844.6,341.15,205.94,32.58
2020-07-23,417.11,772.21,1411.58,1636.4,340.1,206.99,32.53
2020-07-24,448.71,637.2,1324.83,967.2,321.75,199.7,32.47
2020-07-25,420.62,548.52,1193.23,801.2,297.6,171.8,32.42
2020-07-26,383.2,485.88,1072.91,740.4,302.85,177.5,32.37
2020-07-27,510.25,600.4,1382.36,778.5,318.34,180.85,32.32
2020-07-28,442.55,618.12,1296.28,846.3,278.58,144.25,32.26
2020-07-29,522.65,822.36,1623.66,1054.0,310.17,171.35,32.21
2020-07-30,669.59,1150.1,2176.24,1271.6,330.94,198.4,32.16
2020-07-31,627.49,1304.04,2266.24,1815.5,502.93,354.05,32.11
2020-08-01,357.75,488.06,1036.26,1009.7,297.27,177.65,32.05
2020-08-02,349.83,468.84,1004.99,1116.4,273.24,149.2,32.0
2020-08-03,749.79,894.28,2043.47,988.22,293.05,153.01,31.95
2020-08-04,532.38,806.4,1622.17,1481.38,344.98,169.99,31.9
2020-08-05,423.25,608.24,1257.06,1353.9,293.25,134.55,31.84
2020-08-06,595.86,873.68,1787.22,1017.9,300.92,154.15,31.79
2020-08-07,931.96,1770.28,3198.99,1362.1,455.19,305.65,31.74
2020-08-08,571.08,1246.41,2121.85,1415.95,515.01,348.1,31.69
2020-08-09,386.43,776.91,1368.9,2268.0,508.94,382.25,31.63
2020-08-10,563.63,1283.6,2147.51,2252.4,566.08,412.3,31.58
2020-08-11,605.4,1741.25,2669.04,2550.2,728.64,558.65,31.53
2020-08-12,551.08,1771.22,2615.89,2753.4,933.85,698.2,31.48
2020-08-13,635.65,1094.84,2069.08,2010.0,663.51,465.35,31.42
2020-08-14,852.13,1040.35,2346.67,1176.8,485.15,288.5,31.37
2020-08-15,680.49,898.51,1941.55,740.4,486.87,288.4,31.32
2020-08-16,484.08,851.78,1593.8,1167.9,598.74,410.6,31.27
2020-08-17,600.83,940.79,1861.83,1106.6,378.3,187.64,31.21
2020-08-18,532.32,712.65,1528.47,1017.7,321.75,123.71,31.16
2020-08-19,778.29,843.16,2036.24,580.5,335.09,142.45,31.11
2020-08-20,494.98,716.71,1475.39,1197.1,482.91,176.65,31.06
2020-08-21,375.4,515.3,1090.59,1376.5,457.34,178.5,31.0
2020-08-22,352.09,476.58,1016.31,1315.9,371.05,158.55,30.95
2020-08-23,343.46,443.6,969.85,1060.4,314.74,116.4,30.9
2020-08-24,453.26,656.56,1351.01,924.3,323.45,130.43,30.85
2020-08-25,412.14,522.22,1153.54,1057.4,306.48,142.69,30.79
2020-08-26,393.39,578.84,1181.71,1026.6,323.16,137.4,30.74
2020-08-27,681.59,884.71,1929.64,675.5,398.66,161.8,30.69
2020-08-28,617.18,763.9,1709.95,764.5,309.23,131.3,30.64
2020-08-29,637.98,702.55,1680.19,927.6,348.35,135.5,30.58
2020-08-30,590.25,725.28,1629.98,1113.6,396.64,146.85,30.53
2020-08-31,671.65,944.32,1973.89,898.9,350.75,154.65,30.48
2020-09-01,1004.6,1323.96,2864.1,813.8,432.48,236.38,30.43
2020-09-02,509.98,948.0,1729.76,1377.2,411.3,208.4,30.37
2020-09-03,405.66,585.83,1207.66,931.0,341.35,152.4,30.32
2020-09-04,416.16,642.22,1280.39,920.7,382.2,158.55,30.27
2020-09-05,434.36,700.76,1366.46,719.6,378.39,178.85,30.22
2020-09-06,430.23,720.1,1379.42,760.4,365.26,177.55,30.16
2020-09-07,600.15,749.48,1669.3,556.0,369.3,184.85,30.11
2020-09-08,451.51,614.45,1306.49,748.0,310.39,130.7,30.06
2020-09-09,677.42,825.9,1864.14,641.6,348.72,156.2,30.0
2020-09-10,912.74,1146.8,2546.09,869.6,404.39,194.18,29.95
2020-09-11,558.36,907.48,1763.5,941.1,410.01,213.75,29.9
2020-09-12,404.91,604.1,1224.77,990.5,340.16,161.85,29.85
2020-09-13,495.38,772.95,1532.78,965.9,352.45,161.2,29.79
2020-09-14,950.94,1506.87,2964.99,696.9,491.57,252.66,29.74
2020-09-15,669.5,1532.61,2558.86,781.36,727.54,447.38,29.69
2020-09-16,676.83,1205.52,2243.36,965.81,540.5,299.45,29.64
2020-09-17,761.88,1071.52,2239.45,974.2,429.47,159.76,29.58
2020-09-18,740.17,1066.52,2201.08,982.59,419.34,161.23,29.53
2020-09-19,543.46,907.74,1740.74,990.97,437.6,178.69,29.48
2020-09-20,464.14,833.35,1544.9,999.36,452.92,187.26,29.43
2020-09-21,1146.43,1519.97,3277.41,1007.75,531.09,263.52,29.37
2020-09-22,599.69,1179.93,2099.34,1016.13,489.06,276.99,29.32
2020-09-23,455.57,818.57,1517.2,1024.52,330.52,172.3,29.27
2020-09-24,527.81,860.04,1669.21,1032.91,290.39,120.62,29.22
2020-09-25,518.57,788.55,1583.65,1041.29,292.36,128.43,29.16
2020-09-26,588.45,776.49,1678.68,1049.68,314.72,128.85,29.11
2020-09-27,560.91,714.81,1574.79,1058.07,332.29,142.81,29.06
2020-09-28,570.6,866.17,1741.18,1066.45,342.96,163.28,29.01
2020-09-29,905.92,990.45,2379.34,1074.84,362.58,195.95,28.95
2020-09-30,581.81,853.39,1745.35,1111.92,344.11,149.41,28.9
2020-10-01,530.48,801.59,1614.83,956.5,310.51,120.3,28.85
2020-10-02,799.67,926.08,2152.09,555.3,323.06,147.5,25.31
2020-10-03,502.22,733.15,1503.31,910.7,330.99,168.2,17.8
2020-10-04,316.42,495.87,980.99,1084.0,226.41,98.45,22.35
2020-10-05,356.61,560.68,1107.49,761.9,311.79,158.75,34.55
2020-10-06,375.06,565.57,1140.64,885.9,288.31,110.5,33.6
2020-10-07,396.24,618.51,1226.26,771.7,329.9,140.65,29.1
2020-10-08,422.89,628.25,1276.96,718.1,309.33,145.1,45.7
2020-10-09,452.84,724.97,1419.53,416.8,343.61,180.3,13.7
2020-10-10,409.82,660.86,1289.66,658.3,290.49,128.5,16.6
2020-10-11,442.44,685.65,1364.43,527.6,323.54,147.1,14.7
2020-10-12,455.22,742.01,1440.56,413.6,355.21,189.6,14.5
2020-10-13,476.68,685.94,1417.39,355.5,348.96,159.95,20.0
2020-10-14,623.53,777.33,1733.88,656.4,367.82,164.1,18.85
2020-10-15,693.89,864.85,1929.24,679.4,343.28,141.25,24.6
2020-10-16,623.57,842.87,1799.52,550.4,382.8,162.65,24.3
2020-10-17,687.34,894.76,1949.14,801.7,368.82,180.35,19.5
2020-10-18,717.64,931.55,2032.43,428.5,443.55,275.05,21.9
2020-10-19,747.93,968.33,2115.71,929.7,434.86,249.35,33.4
2020-10-20,764.16,990.9,2162.67,1013.7,477.52,220.0,15.45
2020-10-21,806.15,977.21,2213.17,646.1,358.2,174.0,19.7
2020-10-22,454.5,795.69,1492.43,1079.6,369.1,144.35,14.0
2020-10-23,451.72,801.01,1493.53,992.2,353.04,141.45,17.8
2020-10-24,366.54,597.11,1158.75,1242.4,318.05,125.05,22.5
2020-10-25,382.39,649.72,1236.1,1132.0,289.55,123.0,31.5
2020-10-26,481.03,835.92,1573.35,892.4,349.94,157.5,24.3
2020-10-27,478.58,827.16,1561.13,851.2,355.36,139.6,18.4
2020-10-28,456.84,794.48,1495.26,1066.3,370.33,154.2,20.1
2020-10-29,458.75,781.77,1485.65,1044.0,351.55,148.2,25.8
2020-10-30,418.51,711.71,1353.61,1225.5,330.71,136.2,19.2
2020-10-31,391.08,646.33,1245.91,1171.5,375.54,161.4,17.7
2020-11-01,365.54,537.69,1098.23,1217.4,388.69,157.55,22.4
2020-11-02,381.3,573.67,1158.48,1239.6,325.09,138.45,24.3
2020-11-03,478.24,894.79,1627.71,940.3,355.05,153.6,25.2
2020-11-04,1642.51,1472.83,3991.29,263.7,544.74,293.45,45.2
2020-11-05,2580.48,1473.45,5430.09,52.4,1003.5,811.35,60.1
2020-11-06,1504.08,1361.34,3667.71,106.75,1022.99,872.8,54.0
2020-11-07,1164.82,1153.58,2939.54,60.1,769.09,579.3,22.7
2020-11-08,828.2,942.5,2212.41,80.3,769.01,648.0,30.4
2020-11-09,1023.97,1100.22,2670.26,339.5,452.59,275.9,19.7
2020-11-10,660.56,1067.16,2080.07,591.8,412.66,215.4,16.2
2020-11-11,587.03,906.36,1806.57,815.9,363.54,175.65,18.9
2020-11-12,437.5,797.2,1468.17,1279.4,358.38,144.3,20.8
2020-11-13,505.55,988.34,1763.47,1084.5,389.22,160.8,44.3
2020-11-14,392.77,713.11,1315.49,1231.0,403.26,188.8,14.3
2020-11-15,354.94,593.65,1138.02,1498.6,310.84,127.63,26.7
2020-11-16,414.18,761.12,1396.17,1186.2,352.68,144.0,23.5
2020-11-17,411.2,752.82,1383.37,1415.3,371.88,148.4,20.4
2020-11-18,429.12,726.68,1384.82,1136.1,408.35,163.7,23.5
2020-11-19,690.34,1046.95,2105.42,776.2,351.64,163.35,37.3
2020-11-20,701.94,1163.37,2239.87,636.4,378.45,201.0,31.0
2020-11-21,371.21,664.09,1233.3,1412.8,310.46,136.25,16.4
2020-11-22,483.53,913.36,1654.55,542.5,349.22,172.85,52.3
2020-11-23,1023.52,1298.2,2868.1,297.2,504.68,290.8,25.9
2020-11-24,523.29,944.09,1746.8,970.15,369.54,171.75,27.9
2020-11-25,668.56,1074.86,2100.03,646.5,464.42,255.65,19.8
2020-11-26,1251.11,1438.28,3356.4,239.8,484.86,281.05,39.9
2020-11-27,1752.49,1350.54,4037.52,33.7,586.47,435.35,50.0
2020-11-28,1069.24,1272.04,2911.18,48.2,835.84,700.85,31.8
2020-11-29,687.74,1129.0,2183.32,236.9,654.06,545.9,16.7
2020-11-30,608.93,872.95,1806.36,233.8,411.06,288.45,33.4
2020-12-01,1069.03,1232.72,2871.8,631.3,385.34,172.6,30.4
2020-12-02,1161.27,1317.0,3097.3,139.6,533.4,326.1,54.5
2020-12-03,730.54,1214.8,2334.46,618.9,337.88,179.25,43.6
2020-12-04,544.24,1005.64,1839.99,516.9,346.24,204.55,26.4
2020-12-05,813.39,1107.98,2354.75,744.2,416.62,190.75,23.3
2020-12-06,904.48,1063.6,2449.98,332.7,436.81,283.15,20.2
2020-12-07,1506.75,1307.01,3617.34,152.8,481.02,327.95,34.4
2020-12-08,1510.22,1283.04,3598.45,59.0,518.64,409.4,40.0
2020-12-09,791.03,1157.11,2369.29,310.5,427.16,230.75,18.8
2020-12-10,1055.56,1108.23,2726.46,556.6,459.71,226.25,16.5
2020-12-11,876.48,1252.53,2596.46,510.5,393.4,218.3,26.3
2020-12-12,561.83,971.04,1832.15,248.5,380.94,230.35,58.9
2020-12-13,455.14,870.41,1567.99,763.6,321.9,159.0,16.3
2020-12-14,413.39,786.32,1419.9,1237.7,390.69,158.08,16.0
2020-12-15,545.4,996.24,1832.22,990.8,411.06,168.7,20.8
2020-12-16,689.69,1061.09,2118.05,952.9,348.63,161.1,24.05
2020-12-17,453.96,808.44,1504.04,944.7,366.98,147.7,24.8
2020-12-18,400.33,610.86,1224.26,1061.3,327.09,142.35,12.0
2020-12-19,364.93,621.06,1180.51,1193.7,360.49,166.5,11.0
2020-12-20,341.83,630.23,1154.01,1206.3,331.71,129.75,19.1
2020-12-21,516.74,742.0,1534.11,939.7,282.14,109.7,15.4
2020-12-22,940.11,994.35,2435.74,511.2,356.16,201.6,32.0
2020-12-23,461.4,821.59,1528.66,960.7,292.52,134.1,13.9
